session_id,task_id,model,domain,difficulty,source,error_type,tool_selected,tool_correct,final_correct,eps,weps,reached_output,cascade_count,cost
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0044_e7151f,ecommerce_s1_0044,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,get_product,False,True,0,0.0,False,0,0.00013095
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0043_6cc877,ecommerce_s1_0043,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,get_product,True,True,0,0.0,False,1,0.0001209
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0035_0a45a1,ecommerce_s1_0035,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.00023354999999999998
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0046_e20602,ecommerce_s1_0046,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,,False,False,0,0.0,False,0,5.565e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0045_cea6a5,ecommerce_s1_0045,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.00023055
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0047_f63d4a,ecommerce_s1_0047,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,get_product,True,True,0,0.0,False,1,0.0001203
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0048_e18b72,ecommerce_s1_0048,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,get_product,True,True,0,0.0,False,1,0.0001191
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0052_880985,ecommerce_s1_0052,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,0.0001002
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0051_3483e3,ecommerce_s1_0051,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,2,1.2,True,0,0.0003405
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0049_5ef46d,ecommerce_s1_0049,gpt4o_mini,ecommerce,easy,synthetic,semantic_wrong,get_product,False,True,1,0.6,False,1,0.00036615
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0050_ffa5d5,ecommerce_s1_0050,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.00038205
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0053_d36a1b,ecommerce_s1_0053,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,0,0.0003888
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0054_96475c,ecommerce_s1_0054,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.0002451
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0055_a1418f,ecommerce_s1_0055,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.0003861
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0058_93d362,ecommerce_s1_0058,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,7.2e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0059_005f80,ecommerce_s1_0059,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,5.82e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0056_e1cd98,ecommerce_s1_0056,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0004221
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0061_523296,ecommerce_s1_0061,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,6.84e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0057_096aa5,ecommerce_s1_0057,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.000243
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0060_2cbe1b,ecommerce_s1_0060,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00024255
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0063_e22624,ecommerce_s1_0063,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00023715
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0062_2afe0a,ecommerce_s1_0062,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0005091
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0065_14635d,ecommerce_s1_0065,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.00047985
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0066_937080,ecommerce_s1_0066,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,0,0.0002475
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0064_59c74b,ecommerce_s1_0064,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.00038685
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0069_617261,ecommerce_s1_0069,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,True,0,0.0,False,0,0.00012735
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0070_f7fd4f,ecommerce_s1_0070,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,0.00010035
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0067_7ed716,ecommerce_s1_0067,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.0005785499999999999
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0068_db74b6,ecommerce_s1_0068,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.0003627
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0071_44723f,ecommerce_s1_0071,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.00039914999999999997
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0072_f5e60f,ecommerce_s1_0072,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,2,1.2,True,1,0.00034125
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0074_aa7794,ecommerce_s1_0074,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.00037275000000000003
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0076_640132,ecommerce_s1_0076,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,5.9399999999999994e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0075_533dbb,ecommerce_s1_0075,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00023925000000000001
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0073_896e69,ecommerce_s1_0073,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.00056145
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0078_a21a2a,ecommerce_s1_0078,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00023265
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0079_6f36d3,ecommerce_s1_0079,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.00040199999999999996
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0080_6782c5,ecommerce_s1_0080,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.00037635
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0081_305212,ecommerce_s1_0081,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00024375
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0082_a7005a,ecommerce_s1_0082,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,7.455e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0077_16285f,ecommerce_s1_0077,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0005652
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0084_cf7317,ecommerce_s1_0084,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,True,0,0.0,False,0,0.00012255
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0085_5825c9,ecommerce_s1_0085,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,0.000102
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0088_064d8c,ecommerce_s1_0088,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,7.575e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0083_fa7d09,ecommerce_s1_0083,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0005139
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0087_eb480e,ecommerce_s1_0087,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00023429999999999998
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0086_982129,ecommerce_s1_0086,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.00037620000000000004
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0089_2c6654,ecommerce_s1_0089,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.00034635000000000004
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0091_8cdcff,ecommerce_s1_0091,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.0004986
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0094_fe5d6d,ecommerce_s1_0094,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,7.379999999999999e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0090_fe60ae,ecommerce_s1_0090,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,2,1.2,True,1,0.00033539999999999997
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0093_3d849c,ecommerce_s1_0093,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.000246
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0092_c48061,ecommerce_s1_0092,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.00038745
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0096_b6fdfe,ecommerce_s1_0096,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.0002511
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0095_54e43f,ecommerce_s1_0095,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.00036945
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0098_f04ea3,ecommerce_s1_0098,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.00036495
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0097_7e645a,ecommerce_s1_0097,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.00055965
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0099_5102cc,ecommerce_s1_0099,gpt4o_mini,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,2,1.2,True,1,0.00035114999999999994
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0100_3aad90,ecommerce_s1_0100,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,0,0.0004167
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0101_8755fe,ecommerce_s1_0101,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00042495
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0105_999bae,ecommerce_s1_0105,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,,False,True,0,0.0,False,0,9.359999999999998e-05
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0102_e45651,ecommerce_s1_0102,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.0004431
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0104_cae6d1,ecommerce_s1_0104,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00043139999999999997
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0103_321ad9,ecommerce_s1_0103,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.000618
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0108_384e7e,ecommerce_s1_0108,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,,False,False,0,0.0,False,0,0.00010155
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0106_d885df,ecommerce_s1_0106,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,0,0.0004347
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0107_e63c72,ecommerce_s1_0107,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00042270000000000003
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0110_f6168c,ecommerce_s1_0110,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00042359999999999994
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0109_4de393,ecommerce_s1_0109,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0006651000000000001
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0112_b543b1,ecommerce_s1_0112,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.00042165000000000003
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0111_fa1934,ecommerce_s1_0111,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.00040395000000000003
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0113_5101ea,ecommerce_s1_0113,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00042254999999999994
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0115_088ffa,ecommerce_s1_0115,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,0,0.00043559999999999996
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0114_b7ebbd,ecommerce_s1_0114,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.00037695000000000003
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0116_4f3ebd,ecommerce_s1_0116,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.000426
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0118_b95c3f,ecommerce_s1_0118,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.00041789999999999997
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0117_619d37,ecommerce_s1_0117,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0006785999999999999
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0119_3d5fc2,ecommerce_s1_0119,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00042239999999999997
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0120_78bae7,ecommerce_s1_0120,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.0004056
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0122_443f0e,ecommerce_s1_0122,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00042375
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0121_fa6c58,ecommerce_s1_0121,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.00064215
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0123_e42a7c,ecommerce_s1_0123,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.0006000000000000001
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0124_746825,ecommerce_s1_0124,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0005991
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0125_d40d1a,ecommerce_s1_0125,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.0004184999999999999
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0127_0aceec,ecommerce_s1_0127,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0006236999999999999
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0126_e57b1e,ecommerce_s1_0126,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.00064275
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0128_5b12e9,ecommerce_s1_0128,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.0004254
p2_semantic_wrong_gpt4o_mini_ecommerce_s1_0129_d66147,ecommerce_s1_0129,gpt4o_mini,ecommerce,hard,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.00075555
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0030_6eb589,ecommerce_s1_0030,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.00037220000000000005
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0031_b0fe13,ecommerce_s1_0031,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.00043177000000000005
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0032_8327f6,ecommerce_s1_0032,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,get_product,True,True,1,0.6,False,1,0.0008108400000000002
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0033_53201f,ecommerce_s1_0033,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,get_product,True,True,0,0.0,False,1,0.00042336
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0034_f51f3e,ecommerce_s1_0034,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,place_order,True,True,0,0.0,False,0,0.00051672
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0036_d11eb5,ecommerce_s1_0036,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.0007708700000000001
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0037_460f8b,ecommerce_s1_0037,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,get_product,True,True,0,0.0,False,1,0.00032195
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0038_9240d4,ecommerce_s1_0038,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,get_product,True,True,0,0.0,False,1,0.00021718000000000003
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0035_ec52fb,ecommerce_s1_0035,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0011329500000000002
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0040_6fc386,ecommerce_s1_0040,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.00072295
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0039_5998b1,ecommerce_s1_0039,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,get_product,False,True,0,0.0,False,1,0.00103498
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0042_441b67,ecommerce_s1_0042,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,get_product,True,True,1,0.6,False,0,0.00074255
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0041_ab7c73,ecommerce_s1_0041,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,search_products,True,True,1,0.6,False,1,0.0006999300000000001
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0044_e40e24,ecommerce_s1_0044,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,get_product,False,False,1,1.0,True,0,0.00024996
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0043_e2ede3,ecommerce_s1_0043,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,get_product,True,True,1,0.6,False,0,0.0006434000000000001
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0047_9cd082,ecommerce_s1_0047,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,get_product,True,True,0,0.0,False,1,0.00025211000000000005
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0045_487b70,ecommerce_s1_0045,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.00036265000000000006
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0048_896be4,ecommerce_s1_0048,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,get_product,True,True,0,0.0,False,1,0.00044511
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0049_c524f0,ecommerce_s1_0049,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,place_order,True,True,0,0.0,False,1,0.00033512000000000006
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0046_ae5fca,ecommerce_s1_0046,deepseek_v3,ecommerce,easy,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.00036324
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0052_7ee09f,ecommerce_s1_0052,deepseek_v3,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,0.00022758
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0051_d59ed3,ecommerce_s1_0051,deepseek_v3,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,0,0.00026304
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0050_a5aed9,ecommerce_s1_0050,deepseek_v3,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0010272600000000001
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0055_e8994d,ecommerce_s1_0055,deepseek_v3,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,0.00025865
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0053_39b9b5,ecommerce_s1_0053,deepseek_v3,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0010333200000000001
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0057_69f7c2,ecommerce_s1_0057,deepseek_v3,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,1,1.0,True,1,0.00042146
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0058_0d634d,ecommerce_s1_0058,deepseek_v3,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,0.00026498
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0056_4a50d7,ecommerce_s1_0056,deepseek_v3,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.00075244
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0054_0d6873,ecommerce_s1_0054,deepseek_v3,ecommerce,medium,synthetic,semantic_wrong,get_product,True,False,2,1.2,True,0,0.00070968
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0060_fb96a3,ecommerce_s1_0060,deepseek_v3,ecommerce,medium,synthetic,semantic_wrong,,False,False,0,0.0,False,0,0.00038928000000000004
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0061_de5aaf,ecommerce_s1_0061,deepseek_v3,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,1,0.0007233000000000001
p2_semantic_wrong_deepseek_v3_ecommerce_s1_0059_eab3c7,ecommerce_s1_0059,deepseek_v3,ecommerce,medium,synthetic,semantic_wrong,search_products,True,False,2,1.2,True,0,0.0011492000000000002
