session_id,task_id,model,domain,difficulty,source,tool_selected,tool_correct,final_correct,cost,input_tokens,output_tokens,steps
bl_gpt4o_mini_ecommerce_s1_0122_576f0e,ecommerce_s1_0122,gpt4o_mini,ecommerce,hard,synthetic,get_product,True,False,0.000411,1524,304,11
bl_gpt4o_mini_ecommerce_s1_0121_8e0976,ecommerce_s1_0121,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,False,0.000627,2560,405,15
bl_gpt4o_mini_ecommerce_s1_0123_c4f721,ecommerce_s1_0123,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,True,0.0005382,1748,460,11
bl_gpt4o_mini_ecommerce_s1_0124_a83fcd,ecommerce_s1_0124,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,True,0.0006067499999999999,2573,368,14
bl_gpt4o_mini_ecommerce_s1_0125_fad6af,ecommerce_s1_0125,gpt4o_mini,ecommerce,hard,synthetic,get_product,True,False,0.00041715,1537,311,11
bl_gpt4o_mini_ecommerce_s1_0128_95267b,ecommerce_s1_0128,gpt4o_mini,ecommerce,hard,synthetic,get_product,True,False,0.000384,1444,279,11
bl_gpt4o_mini_ecommerce_s1_0126_a5c43f,ecommerce_s1_0126,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,True,0.00039119999999999997,1452,289,11
bl_gpt4o_mini_ecommerce_s1_0129_540cae,ecommerce_s1_0129,gpt4o_mini,ecommerce,hard,synthetic,,False,True,0.00016335,149,235,2
bl_gpt4o_mini_ecommerce_s1_0127_493871,ecommerce_s1_0127,gpt4o_mini,ecommerce,hard,synthetic,search_products,True,False,0.0006141,2594,375,15
bl_deepseek_v3_ecommerce_s1_0032_e130c6,ecommerce_s1_0032,deepseek_v3,ecommerce,easy,synthetic,get_product,True,True,0.00020703,339,105,5
bl_deepseek_v3_ecommerce_s1_0030_2f68a4,ecommerce_s1_0030,deepseek_v3,ecommerce,easy,synthetic,search_products,True,False,0.00039086000000000004,918,130,8
bl_deepseek_v3_ecommerce_s1_0033_44aebd,ecommerce_s1_0033,deepseek_v3,ecommerce,easy,synthetic,get_product,True,True,0.00023837,341,133,5
bl_deepseek_v3_ecommerce_s1_0031_6702ac,ecommerce_s1_0031,deepseek_v3,ecommerce,easy,synthetic,search_products,True,True,0.0003955,650,200,8
bl_deepseek_v3_ecommerce_s1_0035_3c5269,ecommerce_s1_0035,deepseek_v3,ecommerce,easy,synthetic,search_products,True,False,0.00073811,1703,253,9
bl_deepseek_v3_ecommerce_s1_0034_b4f19e,ecommerce_s1_0034,deepseek_v3,ecommerce,easy,synthetic,place_order,True,True,0.0004134000000000001,700,204,8
bl_deepseek_v3_ecommerce_s1_0037_5a3084,ecommerce_s1_0037,deepseek_v3,ecommerce,easy,synthetic,get_product,True,True,0.00021168,344,108,5
bl_deepseek_v3_ecommerce_s1_0039_3cba7d,ecommerce_s1_0039,deepseek_v3,ecommerce,easy,synthetic,get_product,False,True,0.00034473,409,213,5
bl_deepseek_v3_ecommerce_s1_0038_9f6f62,ecommerce_s1_0038,deepseek_v3,ecommerce,easy,synthetic,get_product,True,True,0.0002117,340,109,5
bl_deepseek_v3_ecommerce_s1_0042_caf5e7,ecommerce_s1_0042,deepseek_v3,ecommerce,easy,synthetic,get_product,True,True,0.00020757,341,105,5
bl_deepseek_v3_ecommerce_s1_0036_4b1333,ecommerce_s1_0036,deepseek_v3,ecommerce,easy,synthetic,search_products,True,True,0.00074476,1528,302,11
bl_deepseek_v3_ecommerce_s1_0041_006a3d,ecommerce_s1_0041,deepseek_v3,ecommerce,easy,synthetic,search_products,True,True,0.0008609000000000001,1840,331,11
bl_deepseek_v3_ecommerce_s1_0040_f76d60,ecommerce_s1_0040,deepseek_v3,ecommerce,easy,synthetic,search_products,True,False,0.00111685,2955,290,15
bl_deepseek_v3_ecommerce_s1_0043_5ed21d,ecommerce_s1_0043,deepseek_v3,ecommerce,easy,synthetic,get_product,True,True,0.00021498,344,111,5
bl_deepseek_v3_ecommerce_s1_0044_eefa95,ecommerce_s1_0044,deepseek_v3,ecommerce,easy,synthetic,get_product,False,True,0.0004203900000000001,787,189,8
bl_deepseek_v3_ecommerce_s1_0047_443ec5,ecommerce_s1_0047,deepseek_v3,ecommerce,easy,synthetic,get_product,True,True,0.00022677,351,120,5
bl_deepseek_v3_ecommerce_s1_0045_ad02ff,ecommerce_s1_0045,deepseek_v3,ecommerce,easy,synthetic,search_products,True,False,0.00108773,2949,265,15
bl_deepseek_v3_ecommerce_s1_0049_12d574,ecommerce_s1_0049,deepseek_v3,ecommerce,easy,synthetic,get_product,False,True,0.0005295900000000001,837,276,8
bl_deepseek_v3_ecommerce_s1_0048_1c3f1b,ecommerce_s1_0048,deepseek_v3,ecommerce,easy,synthetic,get_product,True,True,0.00021280000000000002,340,110,5
bl_deepseek_v3_ecommerce_s1_0046_fb6a5a,ecommerce_s1_0046,deepseek_v3,ecommerce,easy,synthetic,search_products,True,True,0.0007901500000000001,1635,317,14
bl_deepseek_v3_ecommerce_s1_0051_6a0933,ecommerce_s1_0051,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00054867,871,285,8
bl_deepseek_v3_ecommerce_s1_0050_99ac30,ecommerce_s1_0050,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.00099915,2515,291,15
bl_deepseek_v3_ecommerce_s1_0053_546041,ecommerce_s1_0053,deepseek_v3,ecommerce,medium,synthetic,search_products,True,True,0.0006604500000000001,1395,258,11
bl_deepseek_v3_ecommerce_s1_0052_483045,ecommerce_s1_0052,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.00099438,2314,336,14
bl_deepseek_v3_ecommerce_s1_0054_1ed03c,ecommerce_s1_0054,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00042324,822,183,8
bl_deepseek_v3_ecommerce_s1_0056_15f727,ecommerce_s1_0056,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.0005432900000000001,1067,232,8
bl_deepseek_v3_ecommerce_s1_0055_89aa21,ecommerce_s1_0055,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.0007990600000000001,1558,344,11
bl_deepseek_v3_ecommerce_s1_0057_8d42f5,ecommerce_s1_0057,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00044975,855,199,8
bl_deepseek_v3_ecommerce_s1_0061_597895,ecommerce_s1_0061,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00037085000000000004,135,304,2
bl_deepseek_v3_ecommerce_s1_0058_d6df4a,ecommerce_s1_0058,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.00110892,2726,339,15
bl_deepseek_v3_ecommerce_s1_0060_7eb00d,ecommerce_s1_0060,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00046403000000000004,859,211,8
bl_deepseek_v3_ecommerce_s1_0059_65bfd6,ecommerce_s1_0059,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.00108353,2799,298,14
bl_deepseek_v3_ecommerce_s1_0065_bbe51b,ecommerce_s1_0065,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00017073000000000004,119,126,2
bl_deepseek_v3_ecommerce_s1_0063_f70a8e,ecommerce_s1_0063,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.0004703200000000001,866,215,8
bl_deepseek_v3_ecommerce_s1_0062_be921b,ecommerce_s1_0062,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.0006933400000000001,812,431,8
bl_deepseek_v3_ecommerce_s1_0067_f73a38,ecommerce_s1_0067,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00026195000000000005,135,205,2
bl_deepseek_v3_ecommerce_s1_0068_c9b051,ecommerce_s1_0068,deepseek_v3,ecommerce,medium,synthetic,,False,True,0.0003093300000000001,119,252,2
bl_deepseek_v3_ecommerce_s1_0064_5655b7,ecommerce_s1_0064,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00025425000000000003,135,198,2
bl_deepseek_v3_ecommerce_s1_0069_05af72,ecommerce_s1_0069,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00019541,133,145,2
bl_deepseek_v3_ecommerce_s1_0066_862185,ecommerce_s1_0066,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00045666,848,207,8
bl_deepseek_v3_ecommerce_s1_0072_8cc974,ecommerce_s1_0072,deepseek_v3,ecommerce,medium,synthetic,,False,True,0.00022208000000000002,134,169,2
bl_deepseek_v3_ecommerce_s1_0074_a70291,ecommerce_s1_0074,deepseek_v3,ecommerce,medium,synthetic,,False,True,0.00040586,118,340,2
bl_deepseek_v3_ecommerce_s1_0070_7c734a,ecommerce_s1_0070,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.00114674,2972,313,15
bl_deepseek_v3_ecommerce_s1_0071_729dee,ecommerce_s1_0071,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.00073559,1437,316,11
bl_deepseek_v3_ecommerce_s1_0077_4caca2,ecommerce_s1_0077,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00019163,119,145,2
bl_deepseek_v3_ecommerce_s1_0075_996d69,ecommerce_s1_0075,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00041311000000000006,813,176,8
bl_deepseek_v3_ecommerce_s1_0076_563f73,ecommerce_s1_0076,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00032575,135,263,2
bl_deepseek_v3_ecommerce_s1_0079_d41842,ecommerce_s1_0079,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00032135000000000003,135,259,2
bl_deepseek_v3_ecommerce_s1_0073_208f3b,ecommerce_s1_0073,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.00105243,2419,363,14
bl_deepseek_v3_ecommerce_s1_0078_a3430a,ecommerce_s1_0078,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00046567000000000006,861,212,8
bl_deepseek_v3_ecommerce_s1_0081_157e10,ecommerce_s1_0081,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00035518,134,290,2
bl_deepseek_v3_ecommerce_s1_0082_ccbc21,ecommerce_s1_0082,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00029605,135,236,2
bl_deepseek_v3_ecommerce_s1_0085_23c81a,ecommerce_s1_0085,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00026855000000000005,135,211,2
bl_deepseek_v3_ecommerce_s1_0080_962736,ecommerce_s1_0080,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.00112701,3013,285,15
bl_deepseek_v3_ecommerce_s1_0084_0d797c,ecommerce_s1_0084,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00048022,866,224,8
bl_deepseek_v3_ecommerce_s1_0087_d27df0,ecommerce_s1_0087,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00045965000000000003,855,208,8
bl_deepseek_v3_ecommerce_s1_0088_bdb600,ecommerce_s1_0088,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00033455000000000003,135,271,2
bl_deepseek_v3_ecommerce_s1_0089_b69172,ecommerce_s1_0089,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00014900000000000002,120,106,2
bl_deepseek_v3_ecommerce_s1_0083_792868,ecommerce_s1_0083,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.0011177000000000001,2290,454,14
bl_deepseek_v3_ecommerce_s1_0086_71c683,ecommerce_s1_0086,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.00103585,2765,263,15
bl_deepseek_v3_ecommerce_s1_0091_d0d4d9,ecommerce_s1_0091,deepseek_v3,ecommerce,medium,synthetic,,False,False,0.00024985000000000003,135,194,2
bl_deepseek_v3_ecommerce_s1_0090_26ce86,ecommerce_s1_0090,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00043142,836,187,8
bl_deepseek_v3_ecommerce_s1_0093_d748ca,ecommerce_s1_0093,deepseek_v3,ecommerce,medium,synthetic,get_product,True,False,0.00048134,862,226,8
bl_deepseek_v3_ecommerce_s1_0092_629032,ecommerce_s1_0092,deepseek_v3,ecommerce,medium,synthetic,search_products,True,False,0.0009415100000000001,2273,298,15
