session_id,task_id,model,domain,difficulty,source,tool_selected,tool_correct,final_correct,cost,input_tokens,output_tokens,steps
bl_gpt4o_mini_halueval_0019_11affb,halueval_0019,gpt4o_mini,knowledge,hard,halueval,,False,False,5.895e-05,213,45,2
bl_gpt4o_mini_toolbench_syn_0094_15845c,toolbench_syn_0094,gpt4o_mini,medical,medium,toolbench_synthetic,check_drug_interaction,False,False,0.00019995,621,178,8
bl_gpt4o_mini_weather_096_01e02b,weather_096,gpt4o_mini,weather,medium,synthetic,get_weather,True,True,0.00038535,753,454,8
bl_gpt4o_mini_calendar_083_663c9c,calendar_083,gpt4o_mini,calendar,medium,synthetic,create_event,True,True,0.0003956999999999,1338,325,11
bl_gpt4o_mini_medical_031_8c5825,medical_031,gpt4o_mini,medical,easy,synthetic,,False,True,4.455e-05,105,48,2
bl_gpt4o_mini_toolbench_syn_0062_5800a4,toolbench_syn_0062,gpt4o_mini,weather,hard,toolbench_synthetic,,False,False,5.31e-05,118,59,2
bl_gpt4o_mini_medical_038_4b906d,medical_038,gpt4o_mini,medical,easy,synthetic,,False,True,5.655e-05,117,65,2
bl_gpt4o_mini_toolbench_syn_0053_be6131,toolbench_syn_0053,gpt4o_mini,weather,easy,toolbench_synthetic,,False,False,3.9e-05,116,36,2
bl_gpt4o_mini_toolbench_syn_0023_23db8f,toolbench_syn_0023,gpt4o_mini,medical,hard,toolbench_synthetic,,False,True,4.23e-05,106,44,2
bl_gpt4o_mini_weather_086_1ea887,weather_086,gpt4o_mini,weather,medium,synthetic,,False,True,8.325e-05,135,105,2
bl_gpt4o_mini_calendar_056_7f3b37,calendar_056,gpt4o_mini,calendar,medium,synthetic,get_events,True,False,0.0004631999999999,1728,340,14
bl_gpt4o_mini_calendar_072_627c53,calendar_072,gpt4o_mini,calendar,medium,synthetic,get_events,True,False,0.00022695,737,194,8
bl_gpt4o_mini_toolbench_syn_0093_1d2c5b,toolbench_syn_0093,gpt4o_mini,calendar,medium,toolbench_synthetic,get_events,False,True,0.0001921499999999,593,172,8
bl_gpt4o_mini_toolbench_syn_0013_54192b,toolbench_syn_0013,gpt4o_mini,medical,medium,toolbench_synthetic,,False,True,7.575e-05,105,100,2
bl_gpt4o_mini_weather_039_f2e5f0,weather_039,gpt4o_mini,weather,easy,synthetic,,False,False,6.884999999999999e-05,131,82,2
bl_gpt4o_mini_toolbench_syn_0092_90f914,toolbench_syn_0092,gpt4o_mini,medical,hard,toolbench_synthetic,,False,False,4.2149999999999995e-05,105,44,2
bl_gpt4o_mini_calendar_007_82d8af,calendar_007,gpt4o_mini,calendar,easy,synthetic,get_events,True,False,0.0002013,634,177,8
bl_gpt4o_mini_calendar_054_da45e8,calendar_054,gpt4o_mini,calendar,medium,synthetic,get_events,True,False,0.0004685999999999,1764,340,14
bl_gpt4o_mini_toolbench_syn_0048_4f8a61,toolbench_syn_0048,gpt4o_mini,medical,hard,toolbench_synthetic,,False,False,4.2149999999999995e-05,105,44,2
bl_gpt4o_mini_halueval_0089_7c3e6f,halueval_0089,gpt4o_mini,knowledge,medium,halueval,,False,False,8.925e-05,199,99,2
bl_gpt4o_mini_halueval_0028_a1f1ae,halueval_0028,gpt4o_mini,knowledge,hard,halueval,,False,False,7.274999999999999e-05,197,72,2
bl_gpt4o_mini_weather_032_87b6fe,weather_032,gpt4o_mini,weather,easy,synthetic,,False,False,5.43e-05,126,59,2
bl_gpt4o_mini_calendar_059_9d7955,calendar_059,gpt4o_mini,calendar,medium,synthetic,,False,True,9.404999999999998e-05,143,121,2
bl_gpt4o_mini_medical_045_ee90d7,medical_045,gpt4o_mini,medical,easy,synthetic,,False,False,4.635e-05,105,51,2
bl_gpt4o_mini_weather_009_ee1c07,weather_009,gpt4o_mini,weather,easy,synthetic,,False,False,6.825e-05,131,81,2
bl_gpt4o_mini_weather_070_94200c,weather_070,gpt4o_mini,weather,medium,synthetic,get_weather,True,True,0.00057435,1573,564,11
bl_gpt4o_mini_halueval_0085_569973,halueval_0085,gpt4o_mini,knowledge,hard,halueval,,False,False,6.225e-05,203,53,2
bl_gpt4o_mini_medical_034_e1a931,medical_034,gpt4o_mini,medical,easy,synthetic,,False,False,4.5e-05,104,49,2
bl_gpt4o_mini_halueval_0001_4d093d,halueval_0001,gpt4o_mini,knowledge,medium,halueval,,False,False,7.23e-05,202,70,2
bl_gpt4o_mini_medical_068_c7cd3f,medical_068,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.0004269,1546,325,15
bl_gpt4o_mini_calendar_099_226436,calendar_099,gpt4o_mini,calendar,medium,synthetic,,False,False,8.4e-05,140,105,2
bl_gpt4o_mini_medical_062_c18ca8,medical_062,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.0004168499999999,1567,303,14
bl_gpt4o_mini_toolbench_syn_0024_8736ad,toolbench_syn_0024,gpt4o_mini,medical,easy,toolbench_synthetic,,False,False,4.2149999999999995e-05,105,44,2
bl_gpt4o_mini_calendar_033_e2b485,calendar_033,gpt4o_mini,calendar,easy,synthetic,,False,True,6.63e-05,118,81,2
bl_gpt4o_mini_toolbench_syn_0022_ec3dc3,toolbench_syn_0022,gpt4o_mini,weather,medium,toolbench_synthetic,,False,False,4.185e-05,119,40,2
bl_gpt4o_mini_weather_003_c916f4,weather_003,gpt4o_mini,weather,easy,synthetic,,False,False,4.125e-05,119,39,2
bl_gpt4o_mini_weather_019_0cf603,weather_019,gpt4o_mini,weather,easy,synthetic,,False,False,6.765e-05,131,80,2
bl_gpt4o_mini_halueval_0088_48d8bb,halueval_0088,gpt4o_mini,knowledge,medium,halueval,,False,False,8.549999999999999e-05,194,94,2
bl_gpt4o_mini_medical_092_1d7dee,medical_092,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.0004248,1584,312,14
bl_gpt4o_mini_medical_064_92574b,medical_064,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.00039765,1559,273,14
bl_gpt4o_mini_medical_054_5cc38e,medical_054,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.0004108499999999,1543,299,14
bl_gpt4o_mini_toolbench_syn_0014_0cfc8e,toolbench_syn_0014,gpt4o_mini,calendar,easy,toolbench_synthetic,,False,True,6.84e-05,108,87,2
bl_gpt4o_mini_toolbench_syn_0051_292643,toolbench_syn_0051,gpt4o_mini,medical,hard,toolbench_synthetic,,False,True,4.35e-05,106,46,2
bl_gpt4o_mini_halueval_0071_4e56ab,halueval_0071,gpt4o_mini,knowledge,medium,halueval,,False,False,6.36e-05,196,57,2
bl_gpt4o_mini_weather_077_0368de,weather_077,gpt4o_mini,weather,medium,synthetic,get_weather,True,True,0.0006588,2280,528,14
bl_gpt4o_mini_halueval_0049_fcd5ce,halueval_0049,gpt4o_mini,knowledge,medium,halueval,,False,False,9.6e-05,196,111,2
bl_gpt4o_mini_calendar_044_5cd1cf,calendar_044,gpt4o_mini,calendar,easy,synthetic,get_events,True,False,0.0001836,640,146,8
bl_gpt4o_mini_calendar_034_89394e,calendar_034,gpt4o_mini,calendar,easy,synthetic,,False,False,4.5e-05,108,48,2
bl_gpt4o_mini_calendar_045_585975,calendar_045,gpt4o_mini,calendar,easy,synthetic,,False,True,4.65e-05,102,52,2
bl_gpt4o_mini_halueval_0006_a1d19d,halueval_0006,gpt4o_mini,knowledge,medium,halueval,,False,False,7.71e-05,198,79,2
bl_gpt4o_mini_calendar_080_50fa3a,calendar_080,gpt4o_mini,calendar,medium,synthetic,get_events,True,False,0.0004785,1842,337,14
bl_gpt4o_mini_medical_081_9c1f82,medical_081,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.0004584,1696,340,14
bl_gpt4o_mini_weather_067_963e9e,weather_067,gpt4o_mini,weather,medium,synthetic,get_weather,True,True,0.00056415,1573,547,11
bl_gpt4o_mini_medical_009_e0198e,medical_009,gpt4o_mini,medical,easy,synthetic,,False,False,4.3799999999999994e-05,104,47,2
bl_gpt4o_mini_halueval_0066_645d24,halueval_0066,gpt4o_mini,knowledge,hard,halueval,,False,False,7.755e-05,213,76,2
bl_gpt4o_mini_halueval_0032_359a8d,halueval_0032,gpt4o_mini,knowledge,medium,halueval,,False,False,6.735e-05,193,64,2
bl_gpt4o_mini_medical_070_2da8c0,medical_070,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.00042375,1581,311,14
bl_gpt4o_mini_calendar_046_ccee3f,calendar_046,gpt4o_mini,calendar,easy,synthetic,,False,True,7.755e-05,121,99,2
bl_gpt4o_mini_toolbench_syn_0041_67ea2f,toolbench_syn_0041,gpt4o_mini,medical,easy,toolbench_synthetic,,False,False,4.2149999999999995e-05,105,44,2
bl_gpt4o_mini_halueval_0065_6d6387,halueval_0065,gpt4o_mini,knowledge,hard,halueval,,False,False,8.13e-05,202,85,2
bl_gpt4o_mini_toolbench_syn_0017_9c08df,toolbench_syn_0017,gpt4o_mini,weather,hard,toolbench_synthetic,,False,False,4.53e-05,118,46,2
bl_gpt4o_mini_weather_018_2ddf49,weather_018,gpt4o_mini,weather,easy,synthetic,,False,True,4.665e-05,119,48,2
bl_gpt4o_mini_halueval_0048_da565c,halueval_0048,gpt4o_mini,knowledge,medium,halueval,,False,False,5.4449999999999995e-05,191,43,2
bl_gpt4o_mini_weather_021_aada18,weather_021,gpt4o_mini,weather,easy,synthetic,,False,True,7.02e-05,124,86,2
bl_gpt4o_mini_calendar_031_85affc,calendar_031,gpt4o_mini,calendar,easy,synthetic,,False,True,7.934999999999999e-05,121,102,2
bl_gpt4o_mini_medical_039_f0e895,medical_039,gpt4o_mini,medical,easy,synthetic,get_patient_record,True,True,0.0001432499999999,551,101,8
bl_gpt4o_mini_medical_078_e2ba39,medical_078,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.0004392,1592,334,15
bl_gpt4o_mini_toolbench_syn_0036_f843b2,toolbench_syn_0036,gpt4o_mini,calendar,easy,toolbench_synthetic,,False,True,7.11e-05,102,93,2
bl_gpt4o_mini_toolbench_syn_0000_a3052f,toolbench_syn_0000,gpt4o_mini,weather,easy,toolbench_synthetic,,False,False,4.47e-05,118,45,2
bl_gpt4o_mini_medical_087_334c7c,medical_087,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,True,0.00021765,651,200,8
bl_gpt4o_mini_medical_097_b484e0,medical_097,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.0004089,1598,282,14
bl_gpt4o_mini_calendar_050_a3c820,calendar_050,gpt4o_mini,calendar,easy,synthetic,,False,True,4.65e-05,102,52,2
bl_gpt4o_mini_medical_004_22d6eb,medical_004,gpt4o_mini,medical,easy,synthetic,,False,True,4.3799999999999994e-05,104,47,2
bl_gpt4o_mini_toolbench_syn_0098_bfdb93,toolbench_syn_0098,gpt4o_mini,calendar,medium,toolbench_synthetic,,False,True,6.84e-05,108,87,2
bl_gpt4o_mini_toolbench_syn_0087_98adc5,toolbench_syn_0087,gpt4o_mini,medical,easy,toolbench_synthetic,check_drug_interaction,False,False,0.0001809,630,144,8
bl_gpt4o_mini_medical_002_4889cf,medical_002,gpt4o_mini,medical,easy,synthetic,,False,True,5.115e-05,109,58,2
bl_gpt4o_mini_weather_015_3ddcf8,weather_015,gpt4o_mini,weather,easy,synthetic,,False,True,4.874999999999999e-05,121,51,2
bl_gpt4o_mini_halueval_0018_f24668,halueval_0018,gpt4o_mini,knowledge,hard,halueval,,False,False,6.69e-05,230,54,2
bl_gpt4o_mini_calendar_091_96d234,calendar_091,gpt4o_mini,calendar,medium,synthetic,create_event,True,True,0.00040875,1425,325,11
bl_gpt4o_mini_weather_056_fba351,weather_056,gpt4o_mini,weather,medium,synthetic,get_weather,True,False,0.0005924999999999,2402,387,15
bl_gpt4o_mini_weather_040_d089c7,weather_040,gpt4o_mini,weather,easy,synthetic,,False,False,5.01e-05,122,53,2
bl_gpt4o_mini_weather_076_bf26d8,weather_076,gpt4o_mini,weather,medium,synthetic,get_weather,True,True,0.0006149999999999,1724,594,11
bl_gpt4o_mini_medical_085_fbdd9d,medical_085,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.0004217999999999,1644,292,14
bl_gpt4o_mini_halueval_0060_42d30d,halueval_0060,gpt4o_mini,knowledge,hard,halueval,,False,False,7.71e-05,194,80,2
bl_gpt4o_mini_toolbench_syn_0091_60494d,toolbench_syn_0091,gpt4o_mini,calendar,easy,toolbench_synthetic,get_events,False,False,0.0001719,602,136,8
bl_gpt4o_mini_medical_013_468fec,medical_013,gpt4o_mini,medical,easy,synthetic,,False,True,5.655e-05,117,65,2
bl_gpt4o_mini_halueval_0072_5bcf4b,halueval_0072,gpt4o_mini,knowledge,medium,halueval,,False,False,5.9399999999999994e-05,204,48,2
bl_gpt4o_mini_halueval_0020_8c41d8,halueval_0020,gpt4o_mini,knowledge,hard,halueval,,False,False,6.375e-05,201,56,2
bl_gpt4o_mini_calendar_079_c04337,calendar_079,gpt4o_mini,calendar,medium,synthetic,create_event,True,True,0.0003993,1374,322,11
bl_gpt4o_mini_medical_058_5c6239,medical_058,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.0004281,1546,327,15
bl_gpt4o_mini_halueval_0076_d2e2a6,halueval_0076,gpt4o_mini,knowledge,hard,halueval,,False,False,9.165e-05,219,98,2
bl_gpt4o_mini_weather_098_7fb7ae,weather_098,gpt4o_mini,weather,medium,synthetic,,False,True,9.84e-05,136,130,2
bl_gpt4o_mini_weather_068_45f32c,weather_068,gpt4o_mini,weather,medium,synthetic,get_weather,True,False,0.0006076499999999,2435,404,15
bl_gpt4o_mini_calendar_097_a0bf87,calendar_097,gpt4o_mini,calendar,medium,synthetic,,False,False,0.00010455,141,139,2
bl_gpt4o_mini_toolbench_syn_0039_1124a3,toolbench_syn_0039,gpt4o_mini,medical,medium,toolbench_synthetic,,False,False,4.2149999999999995e-05,105,44,2
bl_gpt4o_mini_toolbench_syn_0018_7a7f1b,toolbench_syn_0018,gpt4o_mini,weather,medium,toolbench_synthetic,,False,False,4.484999999999999e-05,119,45,2
bl_gpt4o_mini_halueval_0057_8e1522,halueval_0057,gpt4o_mini,knowledge,medium,halueval,,False,False,7.365e-05,243,62,2
bl_gpt4o_mini_calendar_025_b68928,calendar_025,gpt4o_mini,calendar,easy,synthetic,,False,True,4.71e-05,102,53,2
bl_gpt4o_mini_medical_089_3f90af,medical_089,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.00039195,1597,254,14
bl_gpt4o_mini_medical_043_1fa444,medical_043,gpt4o_mini,medical,easy,synthetic,,False,True,6.63e-05,118,81,2
bl_gpt4o_mini_weather_100_e51b61,weather_100,gpt4o_mini,weather,medium,synthetic,get_weather,True,True,0.0008028,2620,683,14
bl_gpt4o_mini_weather_043_aa648a,weather_043,gpt4o_mini,weather,easy,synthetic,,False,True,4.484999999999999e-05,119,45,2
bl_gpt4o_mini_halueval_0022_e246a6,halueval_0022,gpt4o_mini,knowledge,hard,halueval,,False,False,7.994999999999999e-05,209,81,2
bl_gpt4o_mini_calendar_093_89a8ac,calendar_093,gpt4o_mini,calendar,medium,synthetic,,False,False,8.91e-05,142,113,2
bl_gpt4o_mini_medical_055_0e9c3c,medical_055,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,True,0.00021135,637,193,8
bl_gpt4o_mini_toolbench_syn_0084_806b25,toolbench_syn_0084,gpt4o_mini,weather,medium,toolbench_synthetic,,False,False,4.53e-05,118,46,2
bl_gpt4o_mini_medical_067_9ef0bb,medical_067,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.0004413,1686,314,14
bl_gpt4o_mini_halueval_0097_97faf6,halueval_0097,gpt4o_mini,knowledge,medium,halueval,,False,False,7.500000000000001e-05,204,74,2
bl_gpt4o_mini_medical_027_a1e18e,medical_027,gpt4o_mini,medical,easy,synthetic,,False,True,6.24e-05,112,76,2
bl_gpt4o_mini_weather_061_fd1083,weather_061,gpt4o_mini,weather,medium,synthetic,get_weather,True,True,0.0006119999999999,1672,602,11
bl_gpt4o_mini_halueval_0095_0dfec3,halueval_0095,gpt4o_mini,knowledge,medium,halueval,,False,False,9.93e-05,194,117,2
bl_gpt4o_mini_weather_020_150674,weather_020,gpt4o_mini,weather,easy,synthetic,,False,True,4.815e-05,121,50,2
bl_gpt4o_mini_calendar_019_643a89,calendar_019,gpt4o_mini,calendar,easy,synthetic,,False,False,4.5e-05,108,48,2
bl_gpt4o_mini_calendar_014_5ff172,calendar_014,gpt4o_mini,calendar,easy,synthetic,get_events,True,False,0.0001893,638,156,8
bl_gpt4o_mini_toolbench_syn_0064_3ae792,toolbench_syn_0064,gpt4o_mini,weather,hard,toolbench_synthetic,,False,False,4.305e-05,119,42,2
bl_gpt4o_mini_medical_019_8d6b4d,medical_019,gpt4o_mini,medical,easy,synthetic,get_patient_record,True,True,0.0001432499999999,551,101,8
bl_gpt4o_mini_toolbench_syn_0085_5e8a62,toolbench_syn_0085,gpt4o_mini,weather,easy,toolbench_synthetic,,False,False,5.4300000000000005e-05,118,61,2
bl_gpt4o_mini_halueval_0037_0d3be2,halueval_0037,gpt4o_mini,knowledge,medium,halueval,,False,False,7.379999999999999e-05,200,73,2
bl_gpt4o_mini_halueval_0093_feb687,halueval_0093,gpt4o_mini,knowledge,medium,halueval,,False,False,6.495e-05,213,55,2
bl_gpt4o_mini_toolbench_syn_0078_cb5106,toolbench_syn_0078,gpt4o_mini,weather,hard,toolbench_synthetic,,False,False,4.47e-05,118,45,2
bl_gpt4o_mini_medical_042_de26a1,medical_042,gpt4o_mini,medical,easy,synthetic,,False,True,5.7e-05,112,67,2
bl_gpt4o_mini_halueval_0035_26ff10,halueval_0035,gpt4o_mini,knowledge,hard,halueval,,False,False,6.72e-05,200,62,2
bl_gpt4o_mini_halueval_0046_d12c7e,halueval_0046,gpt4o_mini,knowledge,hard,halueval,,False,False,0.0001185,202,147,2
bl_gpt4o_mini_weather_028_3b7449,weather_028,gpt4o_mini,weather,easy,synthetic,,False,True,4.5449999999999993e-05,119,46,2
bl_gpt4o_mini_medical_021_1401c1,medical_021,gpt4o_mini,medical,easy,synthetic,,False,True,4.455e-05,105,48,2
bl_gpt4o_mini_medical_094_21b779,medical_094,gpt4o_mini,medical,medium,synthetic,get_patient_record,True,False,0.0004307999999999,1560,328,15
bl_gpt4o_mini_halueval_0069_f4533f,halueval_0069,gpt4o_mini,knowledge,medium,halueval,,False,False,8.01e-05,214,80,2
bl_gpt4o_mini_toolbench_syn_0061_0056ce,toolbench_syn_0061,gpt4o_mini,weather,hard,toolbench_synthetic,,False,False,4.47e-05,118,45,2
bl_gpt4o_mini_weather_087_3a4888,weather_087,gpt4o_mini,weather,medium,synthetic,,False,True,6.314999999999999e-05,133,72,2
bl_gpt4o_mini_calendar_004_fd7cd3,calendar_004,gpt4o_mini,calendar,easy,synthetic,,False,False,4.98e-05,108,56,2
bl_gpt4o_mini_toolbench_syn_0007_e23418,toolbench_syn_0007,gpt4o_mini,medical,medium,toolbench_synthetic,,False,True,4.35e-05,106,46,2
bl_gpt4o_mini_halueval_0081_2b8775,halueval_0081,gpt4o_mini,knowledge,medium,halueval,,False,False,9.72e-05,224,106,2
bl_gpt4o_mini_weather_026_f61b2d,weather_026,gpt4o_mini,weather,easy,synthetic,,False,True,7.815e-05,125,99,2
bl_gpt4o_mini_halueval_0050_306555,halueval_0050,gpt4o_mini,knowledge,hard,halueval,,False,False,7.44e-05,192,76,2
bl_gpt4o_mini_halueval_0075_1a054a,halueval_0075,gpt4o_mini,knowledge,hard,halueval,,False,False,8.489999999999999e-05,198,92,2
bl_gpt4o_mini_halueval_0010_4d4c15,halueval_0010,gpt4o_mini,knowledge,hard,halueval,,False,False,6.15e-05,202,52,2
bl_gpt4o_mini_calendar_068_0cc649,calendar_068,gpt4o_mini,calendar,medium,synthetic,get_events,True,True,0.0002136,724,175,8
bl_gpt4o_mini_halueval_0016_820b01,halueval_0016,gpt4o_mini,knowledge,medium,halueval,,False,False,0.0001021499999999,209,118,2
bl_gpt4o_mini_calendar_006_25d312,calendar_006,gpt4o_mini,calendar,easy,synthetic,,False,True,8.054999999999999e-05,121,104,2
bl_gpt4o_mini_medical_022_13e702,medical_022,gpt4o_mini,medical,easy,synthetic,,False,True,5.25e-05,110,60,2
bl_gpt4o_mini_halueval_0052_b1730b,halueval_0052,gpt4o_mini,knowledge,hard,halueval,,False,False,8.429999999999999e-05,214,87,2
bl_gpt4o_mini_toolbench_syn_0071_354991,toolbench_syn_0071,gpt4o_mini,calendar,medium,toolbench_synthetic,get_events,False,True,0.0002745,978,213,11
bl_gpt4o_mini_medical_041_d75e97,medical_041,gpt4o_mini,medical,easy,synthetic,,False,True,4.455e-05,105,48,2
bl_gpt4o_mini_weather_091_7afa72,weather_091,gpt4o_mini,weather,medium,synthetic,get_weather,True,True,0.0005150999999999,1578,464,11
bl_gpt4o_mini_calendar_069_d0997c,calendar_069,gpt4o_mini,calendar,medium,synthetic,create_event,True,True,0.0003766499999999,1299,303,11
bl_gpt4o_mini_halueval_0002_19beb9,halueval_0002,gpt4o_mini,knowledge,medium,halueval,,False,False,8.97e-05,214,96,2
