session_id,task_id,model,domain,difficulty,injection_turn,num_turns,propagation_depth,propagation_rate,compounding_score,self_correction_turn,self_corrected,final_correct,cost
p3_gpt4o_mini_calendar_006_d1a147,calendar_006,gpt4o_mini,calendar,easy,2,8,1,0.167,0.0,5,1,False,0.0022752
p3_gpt4o_mini_weather_091_ebbe81,weather_091,gpt4o_mini,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0034699499999999994
p3_gpt4o_mini_medical_001_761430,medical_001,gpt4o_mini,medical,easy,2,8,1,0.0,0.0,-1,0,False,0.0043755
p3_gpt4o_mini_calendar_010_4bcfd0,calendar_010,gpt4o_mini,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.0044409
p3_gpt4o_mini_weather_035_fcad26,weather_035,gpt4o_mini,weather,easy,2,8,1,0.0,0.0,-1,0,False,0.0008737500000000001
p3_gpt4o_mini_medical_069_87cd96,medical_069,gpt4o_mini,medical,medium,2,8,0,0.0,0.0,-1,0,True,0.002109
p3_gpt4o_mini_weather_031_4cbf6c,weather_031,gpt4o_mini,weather,easy,2,8,0,0.0,0.0,-1,0,True,0.00258705
p3_gpt4o_mini_weather_011_e33ebb,weather_011,gpt4o_mini,weather,easy,2,8,1,0.0,0.0,-1,0,False,0.0022185
p3_gpt4o_mini_medical_032_de1c0b,medical_032,gpt4o_mini,medical,easy,2,8,1,0.167,0.0,5,1,False,0.0018017999999999997
p3_gpt4o_mini_calendar_016_3cd6d6,calendar_016,gpt4o_mini,calendar,easy,2,8,1,0.167,0.0,5,1,False,0.00311325
p3_gpt4o_mini_calendar_060_7f3c0d,calendar_060,gpt4o_mini,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.003405
p3_gpt4o_mini_medical_049_5f7162,medical_049,gpt4o_mini,medical,easy,2,8,1,0.0,0.0,-1,0,False,0.0025338
p3_gpt4o_mini_calendar_003_24f417,calendar_003,gpt4o_mini,calendar,easy,2,8,0,0.0,0.0,-1,0,True,0.00329805
p3_gpt4o_mini_calendar_024_2fd36c,calendar_024,gpt4o_mini,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.00363075
p3_gpt4o_mini_calendar_066_3ccd75,calendar_066,gpt4o_mini,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.0037873500000000005
p3_gpt4o_mini_calendar_053_c31b77,calendar_053,gpt4o_mini,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.00418635
p3_gpt4o_mini_medical_060_e02cf4,medical_060,gpt4o_mini,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0028361999999999997
p3_gpt4o_mini_calendar_029_9956cd,calendar_029,gpt4o_mini,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.0034427999999999998
p3_gpt4o_mini_calendar_096_3a12e1,calendar_096,gpt4o_mini,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.004497599999999999
p3_gpt4o_mini_weather_079_056ad9,weather_079,gpt4o_mini,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0039130499999999995
p3_gpt4o_mini_weather_057_1b1111,weather_057,gpt4o_mini,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.00252135
p3_gpt4o_mini_weather_071_028b19,weather_071,gpt4o_mini,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0021458999999999996
p3_gpt4o_mini_medical_020_73eb0a,medical_020,gpt4o_mini,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.002792849999999999
p3_gpt4o_mini_medical_035_300535,medical_035,gpt4o_mini,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.0032714999999999997
p3_gpt4o_mini_medical_003_c50292,medical_003,gpt4o_mini,medical,easy,2,8,1,0.0,0.0,-1,0,False,0.0024938999999999994
p3_gpt4o_mini_calendar_039_cae924,calendar_039,gpt4o_mini,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.0039357
p3_gpt4o_mini_medical_074_069e28,medical_074,gpt4o_mini,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0035991
p3_gpt4o_mini_weather_088_d033f1,weather_088,gpt4o_mini,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.00319545
p3_gpt4o_mini_calendar_008_18cd8e,calendar_008,gpt4o_mini,calendar,easy,2,8,0,0.0,0.0,-1,0,True,0.0023038499999999996
p3_gpt4o_mini_calendar_087_5a49ef,calendar_087,gpt4o_mini,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.00321525
p3_gpt4o_mini_medical_096_031eef,medical_096,gpt4o_mini,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0028654499999999994
p3_gpt4o_mini_weather_041_80399c,weather_041,gpt4o_mini,weather,easy,2,8,1,0.0,0.0,-1,0,False,0.0008931
p3_gpt4o_mini_calendar_051_2a86ff,calendar_051,gpt4o_mini,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.00403635
p3_gpt4o_mini_calendar_073_c29f36,calendar_073,gpt4o_mini,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.0036909000000000004
p3_gpt4o_mini_calendar_084_0880aa,calendar_084,gpt4o_mini,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.00369015
p3_gpt4o_mini_weather_080_c6ddbc,weather_080,gpt4o_mini,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.0028531499999999996
p3_gpt4o_mini_calendar_075_084e94,calendar_075,gpt4o_mini,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.0030891
p3_gpt4o_mini_calendar_043_9982dd,calendar_043,gpt4o_mini,calendar,easy,2,8,1,0.167,0.0,5,1,True,0.00231465
p3_gpt4o_mini_medical_030_690434,medical_030,gpt4o_mini,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.0021966
p3_gpt4o_mini_medical_059_34ba48,medical_059,gpt4o_mini,medical,medium,2,8,0,0.0,0.0,-1,0,True,0.0033685499999999992
p3_gpt4o_mini_calendar_020_9746ff,calendar_020,gpt4o_mini,calendar,easy,2,8,2,0.333,1.0,6,1,False,0.0037954499999999997
p3_gpt4o_mini_weather_016_af6960,weather_016,gpt4o_mini,weather,easy,2,8,1,0.0,0.0,-1,0,False,0.00213885
p3_gemini_20_flash_medical_098_12271a,medical_098,gemini_20_flash,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.001366
p3_gemini_20_flash_weather_097_1f7b09,weather_097,gemini_20_flash,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0023258000000000003
p3_gemini_20_flash_weather_095_983e76,weather_095,gemini_20_flash,weather,medium,2,8,5,0.833,-0.569,7,1,False,0.0021612000000000003
p3_gemini_20_flash_medical_093_c1b5e8,medical_093,gemini_20_flash,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0013302000000000001
p3_gemini_20_flash_calendar_028_6eb59f,calendar_028,gemini_20_flash,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.0010715
p3_gemini_20_flash_weather_090_14272a,weather_090,gemini_20_flash,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0008358
p3_gemini_20_flash_weather_096_bcb18c,weather_096,gemini_20_flash,weather,medium,2,8,3,0.5,0.0,6,1,False,0.0007507000000000002
p3_gemini_20_flash_medical_047_73e000,medical_047,gemini_20_flash,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.000926
p3_gemini_20_flash_medical_031_b86509,medical_031,gemini_20_flash,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.0005471000000000001
p3_gemini_20_flash_calendar_001_c9dabb,calendar_001,gemini_20_flash,calendar,easy,2,8,0,0.0,0.0,-1,0,True,0.0006908000000000001
p3_gemini_20_flash_weather_086_8db6c3,weather_086,gemini_20_flash,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0017843000000000004
p3_gemini_20_flash_calendar_059_e08162,calendar_059,gemini_20_flash,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.0010749000000000002
p3_gemini_20_flash_calendar_072_0aaff0,calendar_072,gemini_20_flash,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.0030799
p3_gemini_20_flash_calendar_054_23d588,calendar_054,gemini_20_flash,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.0034481
p3_gemini_20_flash_medical_068_2347b1,medical_068,gemini_20_flash,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0012527
p3_gemini_20_flash_medical_045_ca8e77,medical_045,gemini_20_flash,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.0014292
p3_gemini_20_flash_weather_032_a4b6d3,weather_032,gemini_20_flash,weather,easy,2,8,1,0.0,0.0,-1,0,False,0.0018966
p3_gemini_20_flash_calendar_033_890533,calendar_033,gemini_20_flash,calendar,easy,2,8,1,0.167,0.0,5,1,False,0.0007275
p3_gemini_20_flash_weather_003_be0217,weather_003,gemini_20_flash,weather,easy,2,8,4,0.667,0.535,6,1,False,0.0005218
p3_gemini_20_flash_weather_077_1c76cb,weather_077,gemini_20_flash,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0025228000000000004
p3_gemini_20_flash_calendar_034_46138b,calendar_034,gemini_20_flash,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.0017751000000000002
p3_gemini_20_flash_weather_067_9e9b4d,weather_067,gemini_20_flash,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0024534000000000005
p3_gemini_20_flash_medical_009_3dbf0c,medical_009,gemini_20_flash,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.0007846000000000001
p3_gemini_20_flash_medical_070_dc1f83,medical_070,gemini_20_flash,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0017862
p3_gemini_20_flash_medical_039_7dfa30,medical_039,gemini_20_flash,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.0013193000000000002
p3_gemini_20_flash_medical_097_e055dd,medical_097,gemini_20_flash,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0013915999999999998
p3_gemini_20_flash_medical_087_5ccb15,medical_087,gemini_20_flash,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0014235
p3_gemini_20_flash_weather_076_2eb40d,weather_076,gemini_20_flash,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.0009575
p3_gemini_20_flash_weather_040_9328c0,weather_040,gemini_20_flash,weather,easy,2,8,1,0.0,0.0,-1,0,False,0.0006569000000000001
p3_gemini_20_flash_weather_098_98e3ba,weather_098,gemini_20_flash,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.0007260000000000001
p3_gemini_20_flash_weather_068_99a201,weather_068,gemini_20_flash,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0016916
p3_gemini_20_flash_medical_089_58a452,medical_089,gemini_20_flash,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0018510000000000002
p3_gemini_20_flash_weather_061_2c29cb,weather_061,gemini_20_flash,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.0010337
p3_gemini_20_flash_calendar_093_e9a93b,calendar_093,gemini_20_flash,calendar,medium,2,8,1,0.167,0.0,5,1,False,0.0009824
p3_gemini_20_flash_medical_055_efb633,medical_055,gemini_20_flash,medical,medium,2,8,0,0.0,0.0,-1,0,True,0.0010421
p3_gemini_20_flash_weather_028_2387e6,weather_028,gemini_20_flash,weather,easy,2,8,5,0.833,-0.058,7,1,False,0.0009524000000000002
p3_gemini_20_flash_medical_094_195847,medical_094,gemini_20_flash,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0014452000000000004
p3_gemini_20_flash_medical_021_9ae532,medical_021,gemini_20_flash,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.0007137
p3_gemini_20_flash_calendar_006_596dc7,calendar_006,gemini_20_flash,calendar,easy,2,8,0,0.0,0.0,-1,0,True,0.0006586000000000001
p3_gemini_20_flash_medical_001_97894d,medical_001,gemini_20_flash,medical,easy,2,8,1,0.0,0.0,-1,0,False,0.0006789000000000001
p3_gemini_20_flash_calendar_010_d92a79,calendar_010,gemini_20_flash,calendar,easy,2,8,4,0.667,0.0,5,1,True,0.000629
p3_gemini_20_flash_weather_091_69a18a,weather_091,gemini_20_flash,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0028400000000000005
p3_gemini_20_flash_weather_035_17a5d4,weather_035,gemini_20_flash,weather,easy,2,8,0,0.0,0.0,-1,0,True,0.0008425
p3_gemini_20_flash_medical_069_ce5bd1,medical_069,gemini_20_flash,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0013078999999999999
p3_gemini_20_flash_weather_031_d14fa8,weather_031,gemini_20_flash,weather,easy,2,8,5,0.833,-0.569,7,1,False,0.0006233
p3_gemini_20_flash_weather_011_9c7df5,weather_011,gemini_20_flash,weather,easy,2,8,1,0.0,0.0,-1,0,False,0.0005522000000000001
p3_gemini_20_flash_calendar_016_f98515,calendar_016,gemini_20_flash,calendar,easy,2,8,0,0.0,0.0,-1,0,True,0.0006756
p3_gemini_20_flash_medical_032_283c9f,medical_032,gemini_20_flash,medical,easy,2,8,1,0.167,0.0,5,1,True,0.0006221
p3_gemini_20_flash_calendar_003_a793cc,calendar_003,gemini_20_flash,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.0008708
p3_gemini_20_flash_calendar_060_abbe74,calendar_060,gemini_20_flash,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.0020900000000000003
p3_gemini_20_flash_medical_049_b547e9,medical_049,gemini_20_flash,medical,easy,2,8,1,0.0,0.0,-1,0,False,0.0009676999999999999
p3_gemini_20_flash_calendar_024_414ade,calendar_024,gemini_20_flash,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.0019526
p3_gemini_20_flash_calendar_053_77bb0a,calendar_053,gemini_20_flash,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.0020688
p3_gemini_20_flash_calendar_066_547396,calendar_066,gemini_20_flash,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.0032905
p3_gemini_20_flash_medical_060_82f52e,medical_060,gemini_20_flash,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0018350999999999999
p3_gemini_20_flash_calendar_029_86d314,calendar_029,gemini_20_flash,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.0015107000000000002
p3_gemini_20_flash_weather_079_173611,weather_079,gemini_20_flash,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.0010606
p3_gemini_20_flash_calendar_096_17efda,calendar_096,gemini_20_flash,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.0037394
p3_gemini_20_flash_weather_057_a5030d,weather_057,gemini_20_flash,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.0010193000000000001
p3_gemini_20_flash_medical_020_7a5160,medical_020,gemini_20_flash,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.0005474000000000001
p3_gemini_20_flash_medical_035_e9156b,medical_035,gemini_20_flash,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.0010122000000000002
p3_gemini_20_flash_weather_071_a13d35,weather_071,gemini_20_flash,weather,medium,2,8,1,0.167,0.0,5,1,False,0.0024185
p3_gemini_20_flash_medical_003_93a91b,medical_003,gemini_20_flash,medical,easy,2,8,1,0.0,0.0,-1,0,False,0.0005939000000000001
p3_gemini_20_flash_calendar_039_85a611,calendar_039,gemini_20_flash,calendar,easy,2,8,2,0.333,0.0,5,1,False,0.0006877000000000001
p3_gemini_20_flash_medical_074_88197c,medical_074,gemini_20_flash,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0010544999999999999
p3_gemini_20_flash_calendar_008_80e2e5,calendar_008,gemini_20_flash,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.0006812999999999999
p3_gemini_20_flash_weather_088_1a7060,weather_088,gemini_20_flash,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.0021145
p3_gemini_20_flash_calendar_087_275e51,calendar_087,gemini_20_flash,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.0012417
p3_gemini_20_flash_calendar_051_091198,calendar_051,gemini_20_flash,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.0009339
p3_gemini_20_flash_medical_096_31f2dc,medical_096,gemini_20_flash,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0012098
p3_gemini_20_flash_weather_041_da33a9,weather_041,gemini_20_flash,weather,easy,2,8,1,0.167,0.0,7,1,False,0.0006204
p3_gemini_20_flash_calendar_073_a620a4,calendar_073,gemini_20_flash,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.0013324
p3_gemini_20_flash_weather_080_2faae6,weather_080,gemini_20_flash,weather,medium,2,8,4,0.667,-0.845,7,1,False,0.0015393
p3_gemini_20_flash_calendar_084_dcb464,calendar_084,gemini_20_flash,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.004203599999999999
p3_gemini_20_flash_calendar_043_7fc306,calendar_043,gemini_20_flash,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.0007871000000000001
p3_gemini_20_flash_calendar_075_755876,calendar_075,gemini_20_flash,calendar,medium,2,8,1,0.0,0.0,-1,0,False,0.0032487000000000006
p3_gemini_20_flash_medical_030_96ad60,medical_030,gemini_20_flash,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.0009705
p3_gemini_20_flash_medical_059_4b626f,medical_059,gemini_20_flash,medical,medium,2,8,0,0.0,0.0,-1,0,True,0.0015938
p3_gemini_20_flash_calendar_020_e2dcec,calendar_020,gemini_20_flash,calendar,easy,2,8,3,0.5,-0.918,4,1,False,0.0006083
p3_gemini_20_flash_weather_016_bfccb6,weather_016,gemini_20_flash,weather,easy,2,8,4,0.667,0.507,7,1,False,0.0008549
p3_deepseek_v3_medical_098_1618eb,medical_098,deepseek_v3,medical,medium,2,8,0,0.0,0.0,-1,0,True,0.005825350000000001
p3_deepseek_v3_weather_095_6097b6,weather_095,deepseek_v3,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.0065720100000000005
p3_deepseek_v3_weather_097_3602f9,weather_097,deepseek_v3,weather,medium,2,8,1,0.167,0.0,4,1,False,0.00930981
p3_deepseek_v3_medical_093_833405,medical_093,deepseek_v3,medical,medium,2,8,0,0.0,0.0,-1,0,True,0.0032190000000000005
p3_deepseek_v3_medical_047_04238f,medical_047,deepseek_v3,medical,easy,2,8,1,0.0,0.0,-1,0,False,0.0021008100000000003
p3_deepseek_v3_calendar_028_1202b2,calendar_028,deepseek_v3,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.0099159
p3_deepseek_v3_weather_090_ba42a4,weather_090,deepseek_v3,weather,medium,2,8,6,1.0,-0.621,-1,0,True,0.0042519
p3_deepseek_v3_weather_096_be9d94,weather_096,deepseek_v3,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.006983380000000001
p3_deepseek_v3_calendar_001_994629,calendar_001,deepseek_v3,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.00809231
p3_deepseek_v3_medical_031_d3f173,medical_031,deepseek_v3,medical,easy,2,8,1,0.0,0.0,-1,0,False,0.006669660000000001
p3_deepseek_v3_weather_086_bfc2de,weather_086,deepseek_v3,weather,medium,2,8,6,1.0,-0.131,-1,0,True,0.0035557500000000003
p3_deepseek_v3_calendar_072_5beaf0,calendar_072,deepseek_v3,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.007031090000000001
p3_deepseek_v3_calendar_054_53ab09,calendar_054,deepseek_v3,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.00640869
p3_deepseek_v3_weather_032_a7147a,weather_032,deepseek_v3,weather,easy,2,8,1,0.0,0.0,-1,0,False,0.004301360000000001
p3_deepseek_v3_medical_045_21c91b,medical_045,deepseek_v3,medical,easy,2,8,0,0.0,0.0,-1,0,True,0.00306448
p3_deepseek_v3_calendar_059_8b459d,calendar_059,deepseek_v3,calendar,medium,2,8,0,0.0,0.0,-1,0,True,0.01121101
p3_deepseek_v3_medical_068_d6704f,medical_068,deepseek_v3,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.005375620000000001
p3_deepseek_v3_calendar_033_0c66be,calendar_033,deepseek_v3,calendar,easy,2,8,0,0.0,0.0,-1,0,True,0.006953320000000001
p3_deepseek_v3_weather_003_780450,weather_003,deepseek_v3,weather,easy,2,8,1,0.0,0.0,-1,0,False,0.00477215
p3_deepseek_v3_weather_077_6d3a28,weather_077,deepseek_v3,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.00544751
p3_deepseek_v3_calendar_034_53698a,calendar_034,deepseek_v3,calendar,easy,2,8,1,0.0,0.0,-1,0,False,0.00534161
p3_deepseek_v3_medical_070_9158c7,medical_070,deepseek_v3,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.0039077899999999995
p3_deepseek_v3_weather_067_6e8b58,weather_067,deepseek_v3,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.00610565
p3_deepseek_v3_medical_009_66bb5d,medical_009,deepseek_v3,medical,easy,2,8,1,0.167,0.0,5,1,False,0.00269138
p3_deepseek_v3_medical_039_44aaa6,medical_039,deepseek_v3,medical,easy,2,8,1,0.167,0.0,5,1,True,0.0036259100000000004
p3_deepseek_v3_medical_097_0dccb1,medical_097,deepseek_v3,medical,medium,2,8,0,0.0,0.0,-1,0,True,0.0036479200000000002
p3_deepseek_v3_medical_087_c2d400,medical_087,deepseek_v3,medical,medium,2,8,0,0.0,0.0,-1,0,True,0.004173200000000001
p3_deepseek_v3_weather_076_eaccc7,weather_076,deepseek_v3,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.00715638
p3_deepseek_v3_weather_040_af2bb8,weather_040,deepseek_v3,weather,easy,2,8,0,0.0,0.0,-1,0,True,0.00563649
p3_deepseek_v3_weather_068_8ce023,weather_068,deepseek_v3,weather,medium,2,8,1,0.167,0.0,-1,0,True,0.005234700000000001
p3_deepseek_v3_weather_098_aea324,weather_098,deepseek_v3,weather,medium,2,8,0,0.0,0.0,-1,0,True,0.00742689
p3_deepseek_v3_medical_089_deec90,medical_089,deepseek_v3,medical,medium,2,8,1,0.0,0.0,-1,0,False,0.00515029
p3_deepseek_v3_weather_061_180ac2,weather_061,deepseek_v3,weather,medium,2,8,1,0.0,0.0,-1,0,False,0.009229949999999999
p3_deepseek_v3_medical_055_928f85,medical_055,deepseek_v3,medical,medium,2,8,0,0.0,0.0,-1,0,True,0.005099760000000001
