session_id,task_id,model,domain,injection_type,predicted_stage,ground_truth_stage,confidence,method,final_correct,correct_attribution
p2_missing_required_deepseek_v3_toolbench_syn_0087_b8b6d3,toolbench_syn_0087,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0091_008418,toolbench_syn_0091,deepseek_v3,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0092_34f741,toolbench_syn_0092,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0094_c53f14,toolbench_syn_0094,deepseek_v3,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_toolbench_syn_0096_9c74ed,toolbench_syn_0096,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_weather_007_093015,weather_007,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_weather_026_30ee33,weather_026,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_weather_056_22aa38,weather_056,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_weather_066_a705f3,weather_066,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_deepseek_v3_weather_077_a34312,weather_077,deepseek_v3,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_20_flash_calendar_054_dc87c6,calendar_054,gemini_20_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_20_flash_calendar_056_fa5b28,calendar_056,gemini_20_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_20_flash_calendar_058_63c140,calendar_058,gemini_20_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_20_flash_calendar_060_e56501,calendar_060,gemini_20_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_20_flash_calendar_074_6d3003,calendar_074,gemini_20_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_20_flash_toolbench_syn_0034_c540fc,toolbench_syn_0034,gemini_20_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_20_flash_toolbench_syn_0056_05fd04,toolbench_syn_0056,gemini_20_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_20_flash_toolbench_syn_0065_e22f2d,toolbench_syn_0065,gemini_20_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_20_flash_toolbench_syn_0093_481466,toolbench_syn_0093,gemini_20_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_calendar_032_8c909d,calendar_032,gemini_25_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_calendar_056_097117,calendar_056,gemini_25_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_calendar_072_869ebd,calendar_072,gemini_25_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_calendar_083_0434a7,calendar_083,gemini_25_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_calendar_100_e141fa,calendar_100,gemini_25_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_medical_093_d2e9a4,medical_093,gemini_25_flash,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_toolbench_syn_0004_b32019,toolbench_syn_0004,gemini_25_flash,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_toolbench_syn_0034_965af7,toolbench_syn_0034,gemini_25_flash,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_toolbench_syn_0040_186771,toolbench_syn_0040,gemini_25_flash,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_toolbench_syn_0045_c3478f,toolbench_syn_0045,gemini_25_flash,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_toolbench_syn_0053_2f79f6,toolbench_syn_0053,gemini_25_flash,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_toolbench_syn_0058_9b35e3,toolbench_syn_0058,gemini_25_flash,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_toolbench_syn_0062_363df9,toolbench_syn_0062,gemini_25_flash,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_toolbench_syn_0070_dc1534,toolbench_syn_0070,gemini_25_flash,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_toolbench_syn_0074_f9d0b1,toolbench_syn_0074,gemini_25_flash,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gemini_25_flash_toolbench_syn_0094_ca1a79,toolbench_syn_0094,gemini_25_flash,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_032_e31f27,calendar_032,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_047_b2b23e,calendar_047,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_054_a59c51,calendar_054,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_056_1f7249,calendar_056,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_058_fc050a,calendar_058,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_060_87367c,calendar_060,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_069_3c339e,calendar_069,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_070_9c37cb,calendar_070,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_072_1f29b0,calendar_072,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_074_79c637,calendar_074,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_079_a71333,calendar_079,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_080_4311c2,calendar_080,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_calendar_083_ade46d,calendar_083,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_medical_054_873b72,medical_054,gpt35_turbo,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_medical_070_afdd78,medical_070,gpt35_turbo,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0000_60f35f,toolbench_syn_0000,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0004_514bdf,toolbench_syn_0004,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0017_6e01c1,toolbench_syn_0017,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0022_795655,toolbench_syn_0022,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0040_174383,toolbench_syn_0040,gpt35_turbo,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0045_2d1870,toolbench_syn_0045,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0053_772946,toolbench_syn_0053,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0058_1cc1bf,toolbench_syn_0058,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0061_1a1455,toolbench_syn_0061,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0062_e558a2,toolbench_syn_0062,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0063_2177d9,toolbench_syn_0063,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0072_48372e,toolbench_syn_0072,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0074_57f253,toolbench_syn_0074,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0078_61a2fc,toolbench_syn_0078,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0084_1fb640,toolbench_syn_0084,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0085_3f3870,toolbench_syn_0085,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0087_a9c7f7,toolbench_syn_0087,gpt35_turbo,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0091_12b8ad,toolbench_syn_0091,gpt35_turbo,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0092_da476f,toolbench_syn_0092,gpt35_turbo,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0094_6ff5aa,toolbench_syn_0094,gpt35_turbo,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt35_turbo_toolbench_syn_0096_ed3ff0,toolbench_syn_0096,gpt35_turbo,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_007_48e228,calendar_007,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_022_8e8848,calendar_022,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_032_bc6cc0,calendar_032,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_054_848880,calendar_054,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_056_62d750,calendar_056,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_060_ac3198,calendar_060,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_070_bc8006,calendar_070,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_072_2a1b21,calendar_072,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_074_2b296e,calendar_074,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_079_b68932,calendar_079,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_080_7ffe08,calendar_080,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_081_bedc7a,calendar_081,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_083_540009,calendar_083,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_088_c036ad,calendar_088,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_calendar_089_124a84,calendar_089,gpt41_mini,calendar,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_medical_054_7cf09f,medical_054,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_medical_058_c0e646,medical_058,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_medical_062_603615,medical_062,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_medical_064_fc72e5,medical_064,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_medical_068_197461,medical_068,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_medical_070_6e9daf,medical_070,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_medical_082_609821,medical_082,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_medical_094_687351,medical_094,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0000_e3b68d,toolbench_syn_0000,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0004_146e37,toolbench_syn_0004,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0010_82ed3e,toolbench_syn_0010,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0017_a5229c,toolbench_syn_0017,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0018_e29970,toolbench_syn_0018,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0022_9f8867,toolbench_syn_0022,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0024_80c845,toolbench_syn_0024,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0039_23bfda,toolbench_syn_0039,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0040_63ba98,toolbench_syn_0040,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0041_86c72b,toolbench_syn_0041,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0042_2ac378,toolbench_syn_0042,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0045_c49950,toolbench_syn_0045,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0048_532c41,toolbench_syn_0048,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0058_9b0f8a,toolbench_syn_0058,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0061_1c5753,toolbench_syn_0061,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0062_1b2e3d,toolbench_syn_0062,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0063_23083b,toolbench_syn_0063,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0064_c80be0,toolbench_syn_0064,gpt41_mini,weather,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
p2_missing_required_gpt41_mini_toolbench_syn_0070_8e453a,toolbench_syn_0070,gpt41_mini,medical,p2_missing_required,parameter_generation,parameter_generation,0.95,schema_check,False,True
