session_id,task_id,model,domain,difficulty,source,error_type,tool_selected,tool_correct,final_correct,eps,weps,reached_output,cascade_count,cost
p2_type_mismatch_gpt4o_mini_calendar_001_005f62,calendar_001,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,8.13e-05
p2_type_mismatch_gpt4o_mini_medical_031_71a7af,medical_031,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.455e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0062_b6a905,toolbench_syn_0062,gpt4o_mini,weather,hard,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,5.4300000000000005e-05
p2_type_mismatch_gpt4o_mini_medical_038_f12880,medical_038,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,5.655e-05
p2_type_mismatch_gpt4o_mini_calendar_083_bae5e7,calendar_083,gpt4o_mini,calendar,medium,synthetic,type_mismatch,create_event,True,True,1,0.3,False,1,0.00053955
p2_type_mismatch_gpt4o_mini_toolbench_syn_0053_2506e4,toolbench_syn_0053,gpt4o_mini,weather,easy,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,3.9e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0023_3d0d1c,toolbench_syn_0023,gpt4o_mini,medical,hard,toolbench_synthetic,type_mismatch,,False,True,0,0.0,False,0,4.77e-05
p2_type_mismatch_gpt4o_mini_calendar_056_d96db6,calendar_056,gpt4o_mini,calendar,medium,synthetic,type_mismatch,get_events,True,False,2,0.6,True,2,0.0004547999999999
p2_type_mismatch_gpt4o_mini_weather_086_5cb2e0,weather_086,gpt4o_mini,weather,medium,synthetic,type_mismatch,,False,True,0,0.0,False,0,9.225e-05
p2_type_mismatch_gpt4o_mini_calendar_072_6d5f8c,calendar_072,gpt4o_mini,calendar,medium,synthetic,type_mismatch,get_events,True,True,1,0.3,False,1,0.0002188499999999
p2_type_mismatch_gpt4o_mini_toolbench_syn_0013_c25520,toolbench_syn_0013,gpt4o_mini,medical,medium,toolbench_synthetic,type_mismatch,,False,True,0,0.0,False,0,4.2149999999999995e-05
p2_type_mismatch_gpt4o_mini_weather_039_63c837,weather_039,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,6.884999999999999e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0092_d489e3,toolbench_syn_0092,gpt4o_mini,medical,hard,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.2149999999999995e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0093_21ad0f,toolbench_syn_0093,gpt4o_mini,calendar,medium,toolbench_synthetic,type_mismatch,get_events,False,False,2,0.6,True,0,0.00042015
p2_type_mismatch_gpt4o_mini_calendar_054_6e84fd,calendar_054,gpt4o_mini,calendar,medium,synthetic,type_mismatch,get_events,True,False,2,0.6,True,2,0.0004677
p2_type_mismatch_gpt4o_mini_toolbench_syn_0048_b3f5d0,toolbench_syn_0048,gpt4o_mini,medical,hard,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.2149999999999995e-05
p2_type_mismatch_gpt4o_mini_calendar_007_aee94b,calendar_007,gpt4o_mini,calendar,easy,synthetic,type_mismatch,get_events,True,False,2,0.6,True,1,0.0002127
p2_type_mismatch_gpt4o_mini_weather_032_265818,weather_032,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,5.31e-05
p2_type_mismatch_gpt4o_mini_medical_045_3612bb,medical_045,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,4.635e-05
p2_type_mismatch_gpt4o_mini_weather_070_fdc280,weather_070,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,True,1,0.3,False,1,0.0005750999999999
p2_type_mismatch_gpt4o_mini_weather_009_85dfdb,weather_009,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,6.825e-05
p2_type_mismatch_gpt4o_mini_calendar_059_780235,calendar_059,gpt4o_mini,calendar,medium,synthetic,type_mismatch,create_event,True,True,1,0.3,False,1,0.0005478
p2_type_mismatch_gpt4o_mini_medical_034_768b64,medical_034,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,4.5e-05
p2_type_mismatch_gpt4o_mini_medical_068_9daa15,medical_068,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,0,0.0004259999999999
p2_type_mismatch_gpt4o_mini_medical_092_c2e8af,medical_092,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,2,0.0002454
p2_type_mismatch_gpt4o_mini_medical_062_30e037,medical_062,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,1,0.00042285
p2_type_mismatch_gpt4o_mini_calendar_099_d526dc,calendar_099,gpt4o_mini,calendar,medium,synthetic,type_mismatch,,False,False,0,0.0,False,0,8.4e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0024_11ab61,toolbench_syn_0024,gpt4o_mini,medical,easy,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.2149999999999995e-05
p2_type_mismatch_gpt4o_mini_calendar_033_8e3ea0,calendar_033,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,8.37e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0022_64142c,toolbench_syn_0022,gpt4o_mini,weather,medium,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.125e-05
p2_type_mismatch_gpt4o_mini_weather_003_8dd862,weather_003,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,4.125e-05
p2_type_mismatch_gpt4o_mini_weather_019_ad3eee,weather_019,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,5.984999999999999e-05
p2_type_mismatch_gpt4o_mini_medical_064_0af9f5,medical_064,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,0,0.00042435
p2_type_mismatch_gpt4o_mini_medical_054_77700d,medical_054,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,1,0.00042135
p2_type_mismatch_gpt4o_mini_weather_077_822419,weather_077,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,True,1,0.3,False,1,0.0004851
p2_type_mismatch_gpt4o_mini_toolbench_syn_0051_c591fb,toolbench_syn_0051,gpt4o_mini,medical,hard,toolbench_synthetic,type_mismatch,,False,True,0,0.0,False,0,4.89e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0014_64bed5,toolbench_syn_0014,gpt4o_mini,calendar,easy,toolbench_synthetic,type_mismatch,,False,True,0,0.0,False,0,6.84e-05
p2_type_mismatch_gpt4o_mini_calendar_044_ce7281,calendar_044,gpt4o_mini,calendar,easy,synthetic,type_mismatch,get_events,True,False,2,0.6,True,1,0.00018885
p2_type_mismatch_gpt4o_mini_calendar_034_7cada1,calendar_034,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,4.5e-05
p2_type_mismatch_gpt4o_mini_calendar_045_81e5ef,calendar_045,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.65e-05
p2_type_mismatch_gpt4o_mini_calendar_080_544ef1,calendar_080,gpt4o_mini,calendar,medium,synthetic,type_mismatch,get_events,True,False,2,0.6,True,2,0.0004775999999999
p2_type_mismatch_gpt4o_mini_medical_070_38775b,medical_070,gpt4o_mini,medical,medium,synthetic,type_mismatch,,False,False,0,0.0,False,0,6.134999999999999e-05
p2_type_mismatch_gpt4o_mini_medical_009_9ecb78,medical_009,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,4.5e-05
p2_type_mismatch_gpt4o_mini_weather_067_6c5283,weather_067,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,True,1,0.3,False,1,0.0005606999999999
p2_type_mismatch_gpt4o_mini_calendar_046_01cf7a,calendar_046,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,7.755e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0041_3a7eab,toolbench_syn_0041,gpt4o_mini,medical,easy,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.2149999999999995e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0017_265236,toolbench_syn_0017,gpt4o_mini,weather,hard,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.65e-05
p2_type_mismatch_gpt4o_mini_medical_081_df0c37,medical_081,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,0,0.0004358999999999
p2_type_mismatch_gpt4o_mini_weather_018_59604b,weather_018,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,4.185e-05
p2_type_mismatch_gpt4o_mini_weather_021_06c6e6,weather_021,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,7.92e-05
p2_type_mismatch_gpt4o_mini_calendar_031_54946f,calendar_031,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,7.755e-05
p2_type_mismatch_gpt4o_mini_medical_039_24a15a,medical_039,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,4.5e-05
p2_type_mismatch_gpt4o_mini_medical_078_b42da7,medical_078,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,0,0.0004601999999999
p2_type_mismatch_gpt4o_mini_toolbench_syn_0036_9bf73b,toolbench_syn_0036,gpt4o_mini,calendar,easy,toolbench_synthetic,type_mismatch,,False,True,0,0.0,False,0,9.33e-05
p2_type_mismatch_gpt4o_mini_medical_097_1f34fe,medical_097,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,True,1,0.3,False,0,0.00020625
p2_type_mismatch_gpt4o_mini_toolbench_syn_0000_088ca3,toolbench_syn_0000,gpt4o_mini,weather,easy,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.47e-05
p2_type_mismatch_gpt4o_mini_calendar_050_19436d,calendar_050,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.71e-05
p2_type_mismatch_gpt4o_mini_medical_087_0feaef,medical_087,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,0,0.00040455
p2_type_mismatch_gpt4o_mini_medical_004_1fa787,medical_004,gpt4o_mini,medical,easy,synthetic,type_mismatch,get_patient_record,True,True,1,0.3,False,0,0.00014145
p2_type_mismatch_gpt4o_mini_toolbench_syn_0087_09147c,toolbench_syn_0087,gpt4o_mini,medical,easy,toolbench_synthetic,type_mismatch,check_drug_interaction,False,False,2,0.6,True,0,0.0001809
p2_type_mismatch_gpt4o_mini_toolbench_syn_0098_767254,toolbench_syn_0098,gpt4o_mini,calendar,medium,toolbench_synthetic,type_mismatch,get_events,False,True,1,0.3,False,2,0.00014715
p2_type_mismatch_gpt4o_mini_medical_002_2c5624,medical_002,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,5.054999999999999e-05
p2_type_mismatch_gpt4o_mini_weather_015_db4a6b,weather_015,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.874999999999999e-05
p2_type_mismatch_gpt4o_mini_calendar_091_aded68,calendar_091,gpt4o_mini,calendar,medium,synthetic,type_mismatch,create_event,True,True,1,0.3,False,0,0.0003919499999999
p2_type_mismatch_gpt4o_mini_weather_056_3eabbb,weather_056,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,False,2,0.6,True,0,0.0004720499999999
p2_type_mismatch_gpt4o_mini_weather_040_1d9cb1,weather_040,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,5.01e-05
p2_type_mismatch_gpt4o_mini_weather_076_8f7c0d,weather_076,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,True,1,0.3,False,1,0.00057975
p2_type_mismatch_gpt4o_mini_medical_085_8255f2,medical_085,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,True,1,0.3,False,1,0.0004292999999999
p2_type_mismatch_gpt4o_mini_toolbench_syn_0091_1e158f,toolbench_syn_0091,gpt4o_mini,calendar,easy,toolbench_synthetic,type_mismatch,get_events,False,False,2,0.6,True,1,0.0001719
p2_type_mismatch_gpt4o_mini_medical_013_53415e,medical_013,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,5.655e-05
p2_type_mismatch_gpt4o_mini_medical_058_2ea064,medical_058,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,0,0.0004272
p2_type_mismatch_gpt4o_mini_calendar_079_deb512,calendar_079,gpt4o_mini,calendar,medium,synthetic,type_mismatch,create_event,True,True,1,0.3,False,1,0.000468
p2_type_mismatch_gpt4o_mini_weather_068_083daa,weather_068,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,False,2,0.6,True,0,0.0005991
p2_type_mismatch_gpt4o_mini_calendar_097_742467,calendar_097,gpt4o_mini,calendar,medium,synthetic,type_mismatch,,False,False,0,0.0,False,0,8.715e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0039_adff16,toolbench_syn_0039,gpt4o_mini,medical,medium,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.2149999999999995e-05
p2_type_mismatch_gpt4o_mini_weather_098_375ffc,weather_098,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,False,2,0.6,True,0,0.00056655
p2_type_mismatch_gpt4o_mini_toolbench_syn_0018_28e5dd,toolbench_syn_0018,gpt4o_mini,weather,medium,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.5449999999999993e-05
p2_type_mismatch_gpt4o_mini_calendar_025_c0bc63,calendar_025,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.71e-05
p2_type_mismatch_gpt4o_mini_weather_100_87c57c,weather_100,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,True,1,0.3,False,1,0.00061365
p2_type_mismatch_gpt4o_mini_weather_043_836de9,weather_043,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.5449999999999993e-05
p2_type_mismatch_gpt4o_mini_medical_043_b954b0,medical_043,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,6.63e-05
p2_type_mismatch_gpt4o_mini_medical_089_5c9bf3,medical_089,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,0,0.0004223999999999
p2_type_mismatch_gpt4o_mini_calendar_093_17dae0,calendar_093,gpt4o_mini,calendar,medium,synthetic,type_mismatch,,False,False,0,0.0,False,0,9.33e-05
p2_type_mismatch_gpt4o_mini_medical_055_3119c7,medical_055,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,True,1,0.3,False,0,0.00021
p2_type_mismatch_gpt4o_mini_toolbench_syn_0084_375820,toolbench_syn_0084,gpt4o_mini,weather,medium,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.8299999999999995e-05
p2_type_mismatch_gpt4o_mini_medical_027_fb384f,medical_027,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,6.24e-05
p2_type_mismatch_gpt4o_mini_weather_061_de71b1,weather_061,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,True,1,0.3,False,1,0.00058605
p2_type_mismatch_gpt4o_mini_medical_067_f7bfdc,medical_067,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,True,1,0.3,False,0,0.0004383
p2_type_mismatch_gpt4o_mini_calendar_014_a349f4,calendar_014,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,4.98e-05
p2_type_mismatch_gpt4o_mini_weather_020_8a99d3,weather_020,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.815e-05
p2_type_mismatch_gpt4o_mini_medical_019_38115c,medical_019,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.319999999999999e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0064_c19f3c,toolbench_syn_0064,gpt4o_mini,weather,hard,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.185e-05
p2_type_mismatch_gpt4o_mini_calendar_019_c14618,calendar_019,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.98e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0085_a0a3ff,toolbench_syn_0085,gpt4o_mini,weather,easy,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.8299999999999995e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0078_70dc67,toolbench_syn_0078,gpt4o_mini,weather,hard,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.47e-05
p2_type_mismatch_gpt4o_mini_weather_028_6d71db,weather_028,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.665e-05
p2_type_mismatch_gpt4o_mini_medical_042_d36e67,medical_042,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,6.12e-05
p2_type_mismatch_gpt4o_mini_medical_021_59038e,medical_021,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.395e-05
p2_type_mismatch_gpt4o_mini_weather_087_4dcd00,weather_087,gpt4o_mini,weather,medium,synthetic,type_mismatch,,False,True,0,0.0,False,0,8.595e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0061_a7176f,toolbench_syn_0061,gpt4o_mini,weather,hard,toolbench_synthetic,type_mismatch,,False,False,0,0.0,False,0,4.47e-05
p2_type_mismatch_gpt4o_mini_medical_094_7c9c57,medical_094,gpt4o_mini,medical,medium,synthetic,type_mismatch,get_patient_record,True,False,2,0.6,True,0,0.0004296
p2_type_mismatch_gpt4o_mini_calendar_004_4da16d,calendar_004,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,4.5e-05
p2_type_mismatch_gpt4o_mini_toolbench_syn_0007_44c4bd,toolbench_syn_0007,gpt4o_mini,medical,medium,toolbench_synthetic,type_mismatch,,False,True,0,0.0,False,0,4.35e-05
p2_type_mismatch_gpt4o_mini_weather_026_a95644,weather_026,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,7.695e-05
p2_type_mismatch_gpt4o_mini_medical_022_e5ee65,medical_022,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,5.37e-05
p2_type_mismatch_gpt4o_mini_calendar_006_80c6ab,calendar_006,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,7.994999999999999e-05
p2_type_mismatch_gpt4o_mini_calendar_068_b811a7,calendar_068,gpt4o_mini,calendar,medium,synthetic,type_mismatch,get_events,True,False,2,0.6,True,1,0.0002299499999999
p2_type_mismatch_gpt4o_mini_toolbench_syn_0071_8c0f60,toolbench_syn_0071,gpt4o_mini,calendar,medium,toolbench_synthetic,type_mismatch,get_events,False,False,2,0.6,True,0,0.00041955
p2_type_mismatch_gpt4o_mini_medical_041_b7b134,medical_041,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.395e-05
p2_type_mismatch_gpt4o_mini_weather_049_aa3ffe,weather_049,gpt4o_mini,weather,easy,synthetic,type_mismatch,,False,False,0,0.0,False,0,6.884999999999999e-05
p2_type_mismatch_gpt4o_mini_calendar_069_2034a4,calendar_069,gpt4o_mini,calendar,medium,synthetic,type_mismatch,create_event,True,True,1,0.3,False,1,0.00055635
p2_type_mismatch_gpt4o_mini_calendar_005_d3704d,calendar_005,gpt4o_mini,calendar,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,4.71e-05
p2_type_mismatch_gpt4o_mini_weather_091_28b434,weather_091,gpt4o_mini,weather,medium,synthetic,type_mismatch,get_weather,True,True,1,0.3,False,1,0.0005529
p2_type_mismatch_gpt4o_mini_medical_007_658dfe,medical_007,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,5.25e-05
p2_type_mismatch_gpt4o_mini_medical_048_01b23e,medical_048,gpt4o_mini,medical,easy,synthetic,type_mismatch,,False,True,0,0.0,False,0,6.63e-05
