session_id,task_id,model,domain,difficulty,injection_type,reached_agent2,reached_agent3,has_tool_errors,propagation_path,amplification_factor,final_correct,cost
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0034_4f95e3,toolbench_syn_0034,gpt4o_mini,calendar,easy,wrong_subtask,False,False,False,[1],1,True,0.0003153
p4_wrong_subtask_gpt4o_mini_calendar_088_9b3109,calendar_088,gpt4o_mini,calendar,medium,wrong_subtask,True,True,True,"[1, 2, 3]",3,False,0.00063225
p4_wrong_subtask_gpt4o_mini_calendar_028_411def,calendar_028,gpt4o_mini,calendar,easy,wrong_subtask,False,False,False,[1],1,True,0.0001933499999999
p4_wrong_subtask_gpt4o_mini_weather_007_a9e216,weather_007,gpt4o_mini,weather,easy,wrong_subtask,False,False,False,[1],1,True,0.0002068499999999
p4_wrong_subtask_gpt4o_mini_weather_012_4cde46,weather_012,gpt4o_mini,weather,easy,wrong_subtask,False,False,False,[1],1,True,0.0002473499999999
p4_wrong_subtask_gpt4o_mini_medical_047_0992b8,medical_047,gpt4o_mini,medical,easy,wrong_subtask,False,False,False,[1],1,True,0.00015975
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0045_fd9892,toolbench_syn_0045,gpt4o_mini,weather,easy,wrong_subtask,False,True,False,"[1, 3]",2,False,0.0001251
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0096_16e9ff,toolbench_syn_0096,gpt4o_mini,weather,medium,wrong_subtask,False,True,False,"[1, 3]",2,False,0.0003284999999999
p4_wrong_subtask_gpt4o_mini_weather_027_68f181,weather_027,gpt4o_mini,weather,easy,wrong_subtask,False,False,False,[1],1,True,0.0002016
p4_wrong_subtask_gpt4o_mini_weather_090_24b1d7,weather_090,gpt4o_mini,weather,medium,wrong_subtask,False,False,False,[1],1,True,0.0002705999999999
p4_wrong_subtask_gpt4o_mini_weather_078_b8c5f8,weather_078,gpt4o_mini,weather,medium,wrong_subtask,False,False,False,[1],1,True,0.00022455
p4_wrong_subtask_gpt4o_mini_medical_063_00c95d,medical_063,gpt4o_mini,medical,medium,wrong_subtask,False,False,False,[1],1,True,0.0002304
p4_wrong_subtask_gpt4o_mini_calendar_085_6441e8,calendar_085,gpt4o_mini,calendar,medium,wrong_subtask,False,False,False,[1],1,True,0.0003031499999999
p4_wrong_subtask_gpt4o_mini_medical_008_b9998b,medical_008,gpt4o_mini,medical,easy,wrong_subtask,False,False,False,[1],1,True,0.0001929
p4_wrong_subtask_gpt4o_mini_calendar_083_49cc1b,calendar_083,gpt4o_mini,calendar,medium,wrong_subtask,False,False,False,[1],1,True,0.0003144
p4_wrong_subtask_gpt4o_mini_weather_096_23c918,weather_096,gpt4o_mini,weather,medium,wrong_subtask,False,False,False,[1],1,True,0.0002238
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0094_164b93,toolbench_syn_0094,gpt4o_mini,medical,medium,wrong_subtask,False,True,False,"[1, 3]",2,False,0.00015765
p4_wrong_subtask_gpt4o_mini_calendar_001_7357d3,calendar_001,gpt4o_mini,calendar,easy,wrong_subtask,False,False,False,[1],1,True,0.0002188499999999
p4_wrong_subtask_gpt4o_mini_medical_031_dd8958,medical_031,gpt4o_mini,medical,easy,wrong_subtask,False,False,False,[1],1,True,0.00019545
p4_wrong_subtask_gpt4o_mini_calendar_056_878775,calendar_056,gpt4o_mini,calendar,medium,wrong_subtask,True,True,True,"[1, 2, 3]",3,False,0.0007358999999999
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0062_aafa81,toolbench_syn_0062,gpt4o_mini,weather,hard,wrong_subtask,False,True,False,"[1, 3]",2,False,0.00033
p4_wrong_subtask_gpt4o_mini_medical_038_7d7f3c,medical_038,gpt4o_mini,medical,easy,wrong_subtask,False,False,False,[1],1,True,0.0001899
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0023_9ce834,toolbench_syn_0023,gpt4o_mini,medical,hard,wrong_subtask,False,False,False,[1],1,True,0.000138
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0053_434b43,toolbench_syn_0053,gpt4o_mini,weather,easy,wrong_subtask,False,True,False,"[1, 3]",2,False,0.00017925
p4_wrong_subtask_gpt4o_mini_weather_086_de9729,weather_086,gpt4o_mini,weather,medium,wrong_subtask,False,False,False,[1],1,True,0.0002186999999999
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0093_b579b5,toolbench_syn_0093,gpt4o_mini,calendar,medium,wrong_subtask,False,False,False,[1],1,True,0.0001498499999999
p4_wrong_subtask_gpt4o_mini_calendar_072_f3c3ed,calendar_072,gpt4o_mini,calendar,medium,wrong_subtask,False,True,False,"[1, 3]",2,False,0.00033315
p4_wrong_subtask_gpt4o_mini_calendar_054_6cde6f,calendar_054,gpt4o_mini,calendar,medium,wrong_subtask,True,True,True,"[1, 2, 3]",3,False,0.0005988
p4_wrong_subtask_gpt4o_mini_weather_039_8d3130,weather_039,gpt4o_mini,weather,easy,wrong_subtask,False,False,False,[1],1,True,0.00017865
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0092_76a8ab,toolbench_syn_0092,gpt4o_mini,medical,hard,wrong_subtask,False,True,False,"[1, 3]",2,False,0.0001885499999999
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0013_fcc565,toolbench_syn_0013,gpt4o_mini,medical,medium,wrong_subtask,True,False,True,"[1, 2]",2,True,0.00067635
p4_wrong_subtask_gpt4o_mini_toolbench_syn_0048_5784cb,toolbench_syn_0048,gpt4o_mini,medical,hard,wrong_subtask,False,True,False,"[1, 3]",2,False,0.0001885499999999
p4_wrong_subtask_gpt4o_mini_weather_070_c37bae,weather_070,gpt4o_mini,weather,medium,wrong_subtask,False,False,False,[1],1,True,0.0003266999999999
p4_wrong_subtask_gpt4o_mini_calendar_007_bc3294,calendar_007,gpt4o_mini,calendar,easy,wrong_subtask,False,True,False,"[1, 3]",2,False,0.000237
p4_wrong_subtask_gpt4o_mini_medical_045_955d0f,medical_045,gpt4o_mini,medical,easy,wrong_subtask,False,False,False,[1],1,True,0.0001918499999999
p4_wrong_subtask_gpt4o_mini_weather_032_e8f13c,weather_032,gpt4o_mini,weather,easy,wrong_subtask,False,False,False,[1],1,True,0.00020145
p4_wrong_subtask_gpt4o_mini_calendar_059_47c259,calendar_059,gpt4o_mini,calendar,medium,wrong_subtask,False,False,False,[1],1,True,0.00032175
p4_wrong_subtask_gpt4o_mini_weather_009_48e0ab,weather_009,gpt4o_mini,weather,easy,wrong_subtask,False,False,False,[1],1,True,0.0002031
p4_wrong_tool_spec_gpt4o_mini_weather_089_0b79c8,weather_089,gpt4o_mini,weather,medium,wrong_tool_spec,False,False,False,[1],1,True,0.00023805
p4_wrong_tool_spec_gpt4o_mini_weather_051_29d7e4,weather_051,gpt4o_mini,weather,medium,wrong_tool_spec,False,False,False,[1],1,True,0.0002441999999999
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0003_cba847,toolbench_syn_0003,gpt4o_mini,calendar,hard,wrong_tool_spec,True,False,True,"[1, 2]",2,True,0.0005872499999999
p4_wrong_tool_spec_gpt4o_mini_weather_097_81770e,weather_097,gpt4o_mini,weather,medium,wrong_tool_spec,True,False,True,"[1, 2]",2,True,0.00090615
p4_wrong_tool_spec_gpt4o_mini_calendar_100_7838ba,calendar_100,gpt4o_mini,calendar,medium,wrong_tool_spec,False,True,False,"[1, 3]",2,False,0.00032355
p4_wrong_tool_spec_gpt4o_mini_medical_098_754874,medical_098,gpt4o_mini,medical,medium,wrong_tool_spec,False,False,False,[1],1,True,0.0002854499999999
p4_wrong_tool_spec_gpt4o_mini_calendar_032_31fe2e,calendar_032,gpt4o_mini,calendar,easy,wrong_tool_spec,False,False,False,[1],1,True,0.00017565
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0058_689a47,toolbench_syn_0058,gpt4o_mini,weather,easy,wrong_tool_spec,True,True,False,"[1, 2, 3]",3,False,0.0001987499999999
p4_wrong_tool_spec_gpt4o_mini_calendar_081_352a28,calendar_081,gpt4o_mini,calendar,medium,wrong_tool_spec,False,False,False,[1],1,True,0.0003051
p4_wrong_tool_spec_gpt4o_mini_calendar_021_02f4d6,calendar_021,gpt4o_mini,calendar,easy,wrong_tool_spec,True,False,True,"[1, 2]",2,True,0.0006452999999999
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0070_f3f92b,toolbench_syn_0070,gpt4o_mini,medical,hard,wrong_tool_spec,True,True,True,"[1, 2, 3]",3,False,0.00032265
p4_wrong_tool_spec_gpt4o_mini_weather_005_62b3f1,weather_005,gpt4o_mini,weather,easy,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.00015015
p4_wrong_tool_spec_gpt4o_mini_weather_038_cac28d,weather_038,gpt4o_mini,weather,easy,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.00023145
p4_wrong_tool_spec_gpt4o_mini_calendar_061_0ee025,calendar_061,gpt4o_mini,calendar,medium,wrong_tool_spec,False,False,False,[1],1,True,0.00030735
p4_wrong_tool_spec_gpt4o_mini_calendar_089_7a7cda,calendar_089,gpt4o_mini,calendar,medium,wrong_tool_spec,False,False,False,[1],1,True,0.00028995
p4_wrong_tool_spec_gpt4o_mini_weather_094_808250,weather_094,gpt4o_mini,weather,medium,wrong_tool_spec,False,False,False,[1],1,True,0.0003689999999999
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0074_e5fa0c,toolbench_syn_0074,gpt4o_mini,weather,medium,wrong_tool_spec,True,True,True,"[1, 2, 3]",3,False,0.00032835
p4_wrong_tool_spec_gpt4o_mini_weather_095_f804de,weather_095,gpt4o_mini,weather,medium,wrong_tool_spec,False,False,False,[1],1,True,0.0002328
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0040_dcf0f6,toolbench_syn_0040,gpt4o_mini,medical,medium,wrong_tool_spec,True,True,False,"[1, 2, 3]",3,False,0.0001330499999999
p4_wrong_tool_spec_gpt4o_mini_medical_093_ff5664,medical_093,gpt4o_mini,medical,medium,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.0002316
p4_wrong_tool_spec_gpt4o_mini_calendar_088_264b10,calendar_088,gpt4o_mini,calendar,medium,wrong_tool_spec,False,True,False,"[1, 3]",2,False,0.00031515
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0034_ca1b52,toolbench_syn_0034,gpt4o_mini,calendar,easy,wrong_tool_spec,False,False,False,[1],1,True,0.0002786999999999
p4_wrong_tool_spec_gpt4o_mini_medical_014_306948,medical_014,gpt4o_mini,medical,easy,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.0001855499999999
p4_wrong_tool_spec_gpt4o_mini_weather_012_fe4007,weather_012,gpt4o_mini,weather,easy,wrong_tool_spec,False,False,False,[1],1,True,0.00017415
p4_wrong_tool_spec_gpt4o_mini_calendar_028_bb6a6a,calendar_028,gpt4o_mini,calendar,easy,wrong_tool_spec,True,False,True,"[1, 2]",2,True,0.0007076999999999
p4_wrong_tool_spec_gpt4o_mini_weather_007_40b5cf,weather_007,gpt4o_mini,weather,easy,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.0001872
p4_wrong_tool_spec_gpt4o_mini_medical_047_1616d5,medical_047,gpt4o_mini,medical,easy,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.0001635
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0096_ec1b3c,toolbench_syn_0096,gpt4o_mini,weather,medium,wrong_tool_spec,True,True,False,"[1, 2, 3]",3,False,0.0001967999999999
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0045_8aec26,toolbench_syn_0045,gpt4o_mini,weather,easy,wrong_tool_spec,True,True,True,"[1, 2, 3]",3,False,0.000327
p4_wrong_tool_spec_gpt4o_mini_weather_090_58f637,weather_090,gpt4o_mini,weather,medium,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.00025845
p4_wrong_tool_spec_gpt4o_mini_weather_027_be4f42,weather_027,gpt4o_mini,weather,easy,wrong_tool_spec,False,False,False,[1],1,True,0.0001692
p4_wrong_tool_spec_gpt4o_mini_weather_078_f7a6c1,weather_078,gpt4o_mini,weather,medium,wrong_tool_spec,False,False,False,[1],1,True,0.0002598
p4_wrong_tool_spec_gpt4o_mini_calendar_085_b7ef83,calendar_085,gpt4o_mini,calendar,medium,wrong_tool_spec,False,False,False,[1],1,True,0.0002982
p4_wrong_tool_spec_gpt4o_mini_medical_063_e3b278,medical_063,gpt4o_mini,medical,medium,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.0002115
p4_wrong_tool_spec_gpt4o_mini_calendar_083_a38a76,calendar_083,gpt4o_mini,calendar,medium,wrong_tool_spec,False,False,False,[1],1,True,0.0003197999999999
p4_wrong_tool_spec_gpt4o_mini_medical_008_c3200e,medical_008,gpt4o_mini,medical,easy,wrong_tool_spec,True,False,True,"[1, 2]",2,True,0.00075765
p4_wrong_tool_spec_gpt4o_mini_weather_096_9ab5a7,weather_096,gpt4o_mini,weather,medium,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.00023055
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0004_f40bcd,toolbench_syn_0004,gpt4o_mini,weather,hard,wrong_tool_spec,True,True,True,"[1, 2, 3]",3,False,0.0036548999999999
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0094_a2b2af,toolbench_syn_0094,gpt4o_mini,medical,medium,wrong_tool_spec,True,True,False,"[1, 2, 3]",3,False,0.0001656
p4_wrong_tool_spec_gpt4o_mini_calendar_001_ced38a,calendar_001,gpt4o_mini,calendar,easy,wrong_tool_spec,True,False,True,"[1, 2]",2,True,0.0007197
p4_wrong_tool_spec_gpt4o_mini_medical_031_78bf96,medical_031,gpt4o_mini,medical,easy,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.0001775999999999
p4_wrong_tool_spec_gpt4o_mini_calendar_056_e7ca10,calendar_056,gpt4o_mini,calendar,medium,wrong_tool_spec,False,True,False,"[1, 3]",2,False,0.00032655
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0053_b12cd0,toolbench_syn_0053,gpt4o_mini,weather,easy,wrong_tool_spec,True,True,False,"[1, 2, 3]",3,False,0.0002283
p4_wrong_tool_spec_gpt4o_mini_weather_086_17216d,weather_086,gpt4o_mini,weather,medium,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.00021915
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0062_584c16,toolbench_syn_0062,gpt4o_mini,weather,hard,wrong_tool_spec,True,True,True,"[1, 2, 3]",3,False,0.0008650499999999
p4_wrong_tool_spec_gpt4o_mini_medical_038_b842fb,medical_038,gpt4o_mini,medical,easy,wrong_tool_spec,True,False,True,"[1, 2]",2,True,0.0007984499999999
p4_wrong_tool_spec_gpt4o_mini_calendar_072_d5a6c1,calendar_072,gpt4o_mini,calendar,medium,wrong_tool_spec,False,False,False,[1],1,True,0.00032805
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0023_c14758,toolbench_syn_0023,gpt4o_mini,medical,hard,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.00026745
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0093_fd466f,toolbench_syn_0093,gpt4o_mini,calendar,medium,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.0002214
p4_wrong_tool_spec_gpt4o_mini_weather_039_c6932a,weather_039,gpt4o_mini,weather,easy,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.0001774499999999
p4_wrong_tool_spec_gpt4o_mini_calendar_054_f59500,calendar_054,gpt4o_mini,calendar,medium,wrong_tool_spec,False,True,False,"[1, 3]",2,False,0.00032145
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0092_07aa34,toolbench_syn_0092,gpt4o_mini,medical,hard,wrong_tool_spec,True,True,False,"[1, 2, 3]",3,False,0.0001330499999999
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0013_522fef,toolbench_syn_0013,gpt4o_mini,medical,medium,wrong_tool_spec,True,False,True,"[1, 2]",2,True,0.0006481499999999
p4_wrong_tool_spec_gpt4o_mini_calendar_007_de4174,calendar_007,gpt4o_mini,calendar,easy,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.0001503
p4_wrong_tool_spec_gpt4o_mini_weather_070_538cf8,weather_070,gpt4o_mini,weather,medium,wrong_tool_spec,False,False,False,[1],1,True,0.00031725
p4_wrong_tool_spec_gpt4o_mini_toolbench_syn_0048_881cc8,toolbench_syn_0048,gpt4o_mini,medical,hard,wrong_tool_spec,True,True,False,"[1, 2, 3]",3,False,0.0001503
p4_wrong_tool_spec_gpt4o_mini_medical_045_b311de,medical_045,gpt4o_mini,medical,easy,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.0001211999999999
p4_wrong_tool_spec_gpt4o_mini_weather_032_f171fd,weather_032,gpt4o_mini,weather,easy,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.0001938
p4_wrong_tool_spec_gpt4o_mini_weather_009_4a0aaf,weather_009,gpt4o_mini,weather,easy,wrong_tool_spec,True,False,False,"[1, 2]",2,True,0.0001761
p4_wrong_parameter_spec_gpt4o_mini_weather_089_549ebd,weather_089,gpt4o_mini,weather,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.00027525
p4_wrong_tool_spec_gpt4o_mini_calendar_059_45351a,calendar_059,gpt4o_mini,calendar,medium,wrong_tool_spec,True,False,True,"[1, 2]",2,True,0.00100815
p4_wrong_parameter_spec_gpt4o_mini_weather_097_b1e336,weather_097,gpt4o_mini,weather,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.00027795
p4_wrong_parameter_spec_gpt4o_mini_weather_051_7018c5,weather_051,gpt4o_mini,weather,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.0002434499999999
p4_wrong_parameter_spec_gpt4o_mini_toolbench_syn_0003_b0c79f,toolbench_syn_0003,gpt4o_mini,calendar,hard,wrong_parameter_spec,True,False,True,"[1, 2]",2,True,0.00030375
p4_wrong_parameter_spec_gpt4o_mini_calendar_032_ac4f23,calendar_032,gpt4o_mini,calendar,easy,wrong_parameter_spec,False,False,False,[1],1,True,0.0001371
p4_wrong_parameter_spec_gpt4o_mini_medical_098_4ef5e9,medical_098,gpt4o_mini,medical,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.0002320499999999
p4_wrong_parameter_spec_gpt4o_mini_calendar_100_a875c5,calendar_100,gpt4o_mini,calendar,medium,wrong_parameter_spec,True,True,False,"[1, 2, 3]",3,False,0.0004704
p4_wrong_parameter_spec_gpt4o_mini_toolbench_syn_0058_5b6448,toolbench_syn_0058,gpt4o_mini,weather,easy,wrong_parameter_spec,False,True,False,"[1, 3]",2,False,0.0001899
p4_wrong_parameter_spec_gpt4o_mini_calendar_021_dad3d9,calendar_021,gpt4o_mini,calendar,easy,wrong_parameter_spec,False,False,False,[1],1,True,0.0002004
p4_wrong_parameter_spec_gpt4o_mini_toolbench_syn_0070_2e9d06,toolbench_syn_0070,gpt4o_mini,medical,hard,wrong_parameter_spec,False,True,False,"[1, 3]",2,False,0.0001881
p4_wrong_parameter_spec_gpt4o_mini_calendar_081_cbbae6,calendar_081,gpt4o_mini,calendar,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.0003273
p4_wrong_parameter_spec_gpt4o_mini_weather_038_37d319,weather_038,gpt4o_mini,weather,easy,wrong_parameter_spec,False,False,False,[1],1,True,0.0001614
p4_wrong_parameter_spec_gpt4o_mini_weather_005_8d4451,weather_005,gpt4o_mini,weather,easy,wrong_parameter_spec,False,False,False,[1],1,True,0.00015255
p4_wrong_parameter_spec_gpt4o_mini_calendar_061_f2baf4,calendar_061,gpt4o_mini,calendar,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.0003247499999999
p4_wrong_parameter_spec_gpt4o_mini_toolbench_syn_0004_531634,toolbench_syn_0004,gpt4o_mini,weather,hard,wrong_parameter_spec,False,True,False,"[1, 3]",2,False,0.0001252499999999
p4_wrong_parameter_spec_gpt4o_mini_toolbench_syn_0074_87e877,toolbench_syn_0074,gpt4o_mini,weather,medium,wrong_parameter_spec,False,True,False,"[1, 3]",2,False,0.0001252499999999
p4_wrong_parameter_spec_gpt4o_mini_weather_094_c8dc02,weather_094,gpt4o_mini,weather,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.0005901
p4_wrong_parameter_spec_gpt4o_mini_calendar_089_33a3b8,calendar_089,gpt4o_mini,calendar,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.0003157499999999
p4_wrong_parameter_spec_gpt4o_mini_weather_095_d65a89,weather_095,gpt4o_mini,weather,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.0002276999999999
p4_wrong_parameter_spec_gpt4o_mini_medical_093_4d3fae,medical_093,gpt4o_mini,medical,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.0002232
p4_wrong_parameter_spec_gpt4o_mini_toolbench_syn_0040_ab0be3,toolbench_syn_0040,gpt4o_mini,medical,medium,wrong_parameter_spec,False,True,False,"[1, 3]",2,False,0.0001881
p4_wrong_parameter_spec_gpt4o_mini_toolbench_syn_0034_822329,toolbench_syn_0034,gpt4o_mini,calendar,easy,wrong_parameter_spec,False,True,False,"[1, 3]",2,False,0.0001575
p4_wrong_parameter_spec_gpt4o_mini_medical_014_6cfa4f,medical_014,gpt4o_mini,medical,easy,wrong_parameter_spec,False,False,False,[1],1,True,0.0001617
p4_wrong_parameter_spec_gpt4o_mini_calendar_088_d29a18,calendar_088,gpt4o_mini,calendar,medium,wrong_parameter_spec,True,True,True,"[1, 2, 3]",3,False,0.00058725
p4_wrong_parameter_spec_gpt4o_mini_calendar_028_59c16b,calendar_028,gpt4o_mini,calendar,easy,wrong_parameter_spec,False,False,False,[1],1,True,0.00019215
p4_wrong_parameter_spec_gpt4o_mini_weather_012_bfa4b5,weather_012,gpt4o_mini,weather,easy,wrong_parameter_spec,True,True,False,"[1, 2, 3]",3,False,0.00018345
p4_wrong_parameter_spec_gpt4o_mini_weather_007_b1f4a5,weather_007,gpt4o_mini,weather,easy,wrong_parameter_spec,True,True,False,"[1, 2, 3]",3,False,0.0001773
p4_wrong_parameter_spec_gpt4o_mini_medical_047_2abc80,medical_047,gpt4o_mini,medical,easy,wrong_parameter_spec,False,False,False,[1],1,True,0.00016905
p4_wrong_parameter_spec_gpt4o_mini_toolbench_syn_0045_587964,toolbench_syn_0045,gpt4o_mini,weather,easy,wrong_parameter_spec,False,True,False,"[1, 3]",2,False,0.00012255
p4_wrong_parameter_spec_gpt4o_mini_toolbench_syn_0096_27b33b,toolbench_syn_0096,gpt4o_mini,weather,medium,wrong_parameter_spec,False,True,False,"[1, 3]",2,False,0.0003226499999999
p4_wrong_parameter_spec_gpt4o_mini_weather_090_bd5e45,weather_090,gpt4o_mini,weather,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.00024945
p4_wrong_parameter_spec_gpt4o_mini_weather_027_84df8f,weather_027,gpt4o_mini,weather,easy,wrong_parameter_spec,True,False,False,"[1, 2]",2,True,0.00025575
p4_wrong_parameter_spec_gpt4o_mini_weather_078_f7f43f,weather_078,gpt4o_mini,weather,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.0002394
p4_wrong_parameter_spec_gpt4o_mini_medical_063_981688,medical_063,gpt4o_mini,medical,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.00021495
p4_wrong_parameter_spec_gpt4o_mini_calendar_085_e8ee39,calendar_085,gpt4o_mini,calendar,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.0002996999999999
p4_wrong_parameter_spec_gpt4o_mini_medical_008_dc24df,medical_008,gpt4o_mini,medical,easy,wrong_parameter_spec,False,False,False,[1],1,True,0.0001916999999999
p4_wrong_parameter_spec_gpt4o_mini_calendar_083_47ab86,calendar_083,gpt4o_mini,calendar,medium,wrong_parameter_spec,False,False,False,[1],1,True,0.0003078
